checked,lastUpdated,link,phanLoai,boNganh,cauHoi,cauTraLoi,TTHCLienQuan,cauHoiLienQuan
True,2025-05-28 21:03:30.257770,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15442&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",Bộ Tài nguyên và Môi trường,"Việc tính phí Cung cấp, khai thác và sử dụng dữ liệu viễn thám như thế nào?","- Việc tính phí cung cấp, khai thác và sử dụng dữ liệu viễn thám được thực hiện theo thông tư 187/2016/TT-BTC ngày 08 tháng 11 năm 2016 của bộ tài chính quy định mức thu, chế độ thu, nộp, miễn, quản lý và sử dụng phí khai thác và sử dụng dữ liệu viễn thám quốc gia;- Thông tư 108/2017/TT-BTC về sửa đổi Điều 3 Thông tư 187/2016/TT-BTC quy định mức thu, chế độ thu, nộp, miễn, quản lý và sử dụng phí khai thác và sử dụng dữ liệu viễn thám quốc gia do Bộ trưởng Bộ Tài chính ban hành.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000652'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15437&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15438&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15439&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15441&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15443&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15444&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15445&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15446&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15447&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15448&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15449&row_limit=1']"
True,2025-05-28 21:03:52.461495,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15446&row_limit=1,['Tổ chức khác'],Bộ Tài nguyên và Môi trường,Khi mua dữ liệu viễn thám phục vụ Quốc phòng-An ninh có phải tính phí không?,"Việc tính phí cung cấp, khai thác và sử dụng dữ liệu viễn thám được thực hiện theo thông tư 187/2016/TT-BTC ngày 08 tháng 11 năm 2016 của bộ tài chính quy định mức thu, chế độ thu, nộp, miễn, quản lý và sử dụng phí khai thác và sử dụng dữ liệu viễn thám quốc gia quy định Mức phí khai thác và sử dụng dữ liệu viễn thám quốc gia phục vụ mục đích an ninh, quốc phòng hoặc trong tình trạng khẩn cấp bằng 60% mức phí tương ứng tại Biểu mức phí ban hành kèm theo Thông tư.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000652'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15437&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15438&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15439&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15441&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15442&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15443&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15444&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15445&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15447&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15448&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15449&row_limit=1']"
True,2025-05-28 21:06:02.199940,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19630&row_limit=1,['Tổ chức khác'],Bộ Công an,"Thủ tục cấp giấy phép mang vũ khí thô sơ để luyện tập, thi đấu thể thao; triển lãm, trưng bày, chào hàng, giới thiệu sản phẩm; làm đạo cụ trong hoạt động văn hóa, nghệ thuật thì thực hiện như thế nào?","Theo quy định tại Khoản 2, 4 Điều 14 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ và khoản 4 Điều 3 Thông tư số 16/2018/TT-BCA ngày 15/5/2018 của Bộ Công an quy định chi tiết thi hành một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì thủ tục cấp giấy phép mang vũ khí thô sơ để luyện tập, thi đấu thể thao; triển lãm, trưng bày, chào hàng, giới thiệu sản phẩm; làm đạo cụ trong hoạt động văn hóa, nghệ thuật thực hiện như sau:a) Hồ sơ gồm: Văn bản đề nghị nêu rõ lý do, thời hạn mang vào, ra; họ và tên, số, ngày cấp thẻ Căn cước công dân, Chứng minh nhân dân hoặc Hộ chiếu của người mang vũ khí; số lượng, chủng loại, nhãn hiệu, số hiệu, ký hiệu vũ khí; cơ số đạn, phụ kiện kèm theo (nếu có) và phương tiện vận chuyển; cửa khẩu mang vũ khí vào, ra khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam; Giấy giới thiệu kèm theo bản sao thẻ Căn cước công dân, Chứng minh nhân dân, Hộ chiếu, Chứng minh Công an nhân dân hoặc giấy chứng minh do Quân đội nhân dân cấp của người đến liên hệ; Bản sao quyết định, chương trình hoặc kế hoạch của cơ quan nhà nước có thẩm quyền.b) Hồ sơ lập thành 01 bộ và nộp tại Cục Cảnh sát QLHC về TTXH. c) Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Cục Cảnh sát QLHC về TTXH cấp giấy phép; trường hợp không cấp phải trả lời bằng văn bản và nêu rõ lý do.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000325'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19566&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19567&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19568&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19569&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19601&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19602&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19626&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19627&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19664&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19665&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19666&row_limit=1']"
True,2025-05-28 21:06:05.846933,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15445&row_limit=1,['Tổ chức khác'],Bộ Tài nguyên và Môi trường,"Trường hợp người nước ngoài muốn khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám tại Việt Nam thì cần thủ tục gì?","Theo Khoản 5 Điều 23 Nghị định số 03/2019/NĐ-CP:“5. Trường hợp người có nhu cầu khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám là cá nhân nước ngoài tại Việt Nam thì phiếu yêu cầu phải được tổ chức, doanh nghiệp nơi người đó đang làm việc ký xác nhận, đóng dấu; đối với các chuyên gia, thực tập sinh là người nước ngoài đang làm việc cho các chương trình, dự án tại các bộ, ngành, địa phương hoặc học tập tại các cơ sở đào tạo tại Việt Nam thì phải được cơ quan có thẩm quyền của bộ, ngành, địa phương hoặc các cơ sở đào tạo đó ký xác nhận, đóng dấu (theo Mẫu số 03 tại Phụ lục ban hành kèm theo Nghị định này)”",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000652'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15437&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15438&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15439&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15441&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15442&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15443&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15444&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15446&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15447&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15448&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15449&row_limit=1']"
True,2025-05-28 21:06:35.146690,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19666&row_limit=1,['Tổ chức khác'],Bộ Công an,"Tổ chức, cá nhân khi mang công cụ hỗ trợ vào, ra để luyện tập, thi đấu thể thao; triển lãm, trưng bày, chào hàng, giới thiệu sản phẩm; làm đạo cụ trong hoạt động văn hóa, nghệ thuật thì được mang số lượng, chủng loại gì, cơ quan nào có thẩm quyền quyết định?","Theo quy định tại Khoản 2 Điều 13 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ và khoản 1 Điều 2 Thông tư số 16/2018/TT-BCA ngày 15/5/2018 của Bộ Công an quy định chi tiết thi hành một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì Cục Cảnh sát QLHC về TTXH quyết định số lượng, chủng loại công cụ hỗ trợ mang vào, ra khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam để luyện tập, thi đấu thể thao; triển lãm, trưng bày, chào hàng, giới thiệu sản phẩm; làm đạo cụ trong hoạt động văn hóa, nghệ thuật.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000325'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19566&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19567&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19568&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19569&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19601&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19602&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19626&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19627&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19630&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19664&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19665&row_limit=1']"
True,2025-05-28 21:06:38.380412,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17484&row_limit=1,[],Thanh tra Chính phủ,Chủ tịch UBND cấp tỉnh phải trực tiếp tiếp công dân bao nhiêu lần trong 1 tháng,Chủ tịch Ủy ban nhân dân cấp tỉnh trực tiếp tiếp công dân tại Trụ sở tiếp công dân cấp tỉnh ít nhất 01 ngày trong 01 tháng và thực hiện việc tiếp công dân đột xuất trong các trường hợp quy định,['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.002175'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17471&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17472&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17475&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17476&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17479&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17492&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17500&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17501&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17502&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17503&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17511&row_limit=1']"
True,2025-05-28 21:06:52.244874,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13654&row_limit=1,[],Bộ Khoa học và Công nghệ ( Bộ TTTT cũ),Cách thức nộp hồ sơ như thế nào?,"Nộp trực tiếp tại Cục Viễn thông hoặc gửi theo đường bưu chính về Cục Viễn thông tại địa chỉ Tòa nhà Cục Viễn thông, đường Dương Đình Nghệ, phường Yên Hòa, quận Cầu Giấy, thành phố Hà Nội, Việt Nam.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004320'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13672&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13673&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13674&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13678&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13679&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13684&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13685&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13686&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13690&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13704&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13709&row_limit=1']"
True,2025-05-28 21:06:56.349716,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13338&row_limit=1,[],Bộ Khoa học và Công nghệ ( Bộ TTTT cũ),"Doanh nghiệp tôi có giấy phép cung cấp dịch vụ phát thanh, truyền hình trả tiền. Tôi muốn cấp lại giấy phép, vậy cần làm thủ tục gì?","Doanh nghiệp phải làm thủ tục hồ sơ như lần đầu cấp giấy phép, thủ tục quy định tại khoản 2, 3 Điểu 12, Nghị định số 06/2016/NĐ-CPTuy nhiên cần nêu rõ cấp lại do giấy phép bị mất, rách, quá thời gian gia hạn,…theo quy định tại điểm a, b khoản 7, Điều 12, Nghị định số 06/2016/NĐ-CP.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002790'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13334&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13335&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13336&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13337&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13339&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13340&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13341&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13347&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13348&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13349&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13586&row_limit=1']"
True,2025-05-28 21:07:00.219770,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13337&row_limit=1,[],Bộ Khoa học và Công nghệ ( Bộ TTTT cũ),"Doanh nghiệp tôi có giấy phép cung cấp dịch vụ phát thanh, truyền hình trả tiền. Tôi muốn gia hạn giấy phép, vậy cần làm thủ tục gì?","Doanh nghiệp có gửi văn bản đề nghị gia hạn, nêu rõ thời hạn gia hạn kèm theo bản sao Giấy phép hoặc cung cấp số Giấy phép đã được cấp đến Bộ Thông tin và Truyền thông.Văn bản đề nghị gia hạn phải trước 60 ngày trước ngày Giấy phép hết hiệu lực.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002790'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13334&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13335&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13336&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13338&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13339&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13340&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13341&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13347&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13348&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13349&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13586&row_limit=1']"
True,2025-05-28 21:07:04.575359,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15438&row_limit=1,[],Bộ Tài nguyên và Môi trường,Sản phẩm viễn thám gồm những thứ gì?,"Sản phẩm viễn thám bao gồm dữ liệu ảnh viễn thám, dữ liệu ảnh viễn thám thô, dữ liệu ảnh viễn thám thô đã được hiệu chỉnh bức xạ, hiệu chỉnh hình học và các thông tin, dữ liệu chuyên đề được chiết xuất từ dữ liệu ảnh viễn thám.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000652'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15437&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15439&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15441&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15442&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15443&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15444&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15445&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15446&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15447&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15448&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15449&row_limit=1']"
