Tên,Link
"Cấp, cấp lại thẻ, dấu kỹ thuật đăng kiểm viên tàu cá",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003755
"Phê duyệt danh mục đề tài khoa học và công nghệ, dự án sản xuất thử nghiệm cấp Bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000994
Công nhận tiến bộ kỹ thuật công nghệ sinh học,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003904
"Cấp, cấp lại giấy chứng nhận cơ sở đủ điều kiện đóng mới, cải hoán tàu cá",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004697
Xác nhận cam kết hoặc chứng nhận sản phẩm thủy sản xuất khẩu có nguồn gốc từ thủy sản khai thác nhập khẩu (theo yêu cầu),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003770
"Cấp, cấp lại, gia hạn giấy phép hoạt động cho tổ chức, cá nhân nước ngoài có tàu hoạt động thuỷ sản trong vùng biển Việt Nam",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004936
"Tuyển chọn, giao trực tiếp tổ chức và cá nhân chủ trì đề tài khoa học và công nghệ, dự án sản xuất thử nghiệm cấp bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000925
Cấp văn bản chấp thuận cho tàu cá khai thác thuỷ sản ở vùng biển ngoài vùng biển Việt Nam hoặc cấp phép cho đi khai thác tại vùng biển thuộc thẩm quyền quản lý của Tổ chức nghề cá khu vực,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004940
"Cấp, cấp lại giấy phép khai thác thủy sản",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004359
"Điều chỉnh, đề tài khoa học và công nghệ, dự án sản xuất thử nghiệm cấp bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000882
Công bố mở cảng cá loại 3,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004478
Hỗ trợ một lần sau đầu tư đóng mới tàu cá,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004056
"Đánh giá nghiệm thu kết quả đề tài khoa học và công nghệ, dự án sản xuất thử nghiệm cấp bộ",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000860
"Cấp văn bản chấp thuận đóng mới, cải hoán, thuê, mua tàu cá trên biển",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004344
"Xác nhận nguồn gốc loài thủy sản thuộc Phụ lục Công ước quốc tế về buôn bán các loài động vật, thực vật hoang dã nguy cấp; loài thủy sản nguy cấp, quý, hiếm có nguồn gốc khai thác từ tự nhiên",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004656
Công nhận tiến bộ kỹ thuật,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001576
"Xác nhận nguồn gốc loài thủy sản thuộc Phụ lục Công ước quốc tế về buôn bán các loài động vật, thực vật hoang dã nguy cấp và các loài thủy sản nguy cấp, quý, hiếm có nguồn gốc từ nuôi trồng",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004680
"Cấp, cấp lại, gia hạn giấy phép nuôi trồng thủy sản trên biển cho tổ chức, cá nhân Việt Nam (trong phạm vi 06 hải lý)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004684
Công nhận doanh nghiệp nông nghiệp ứng dụng công nghệ cao,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003388
"Cấp, cấp lại giấy xác nhận đăng ký nuôi trồng thủy sản lồng bè, đối tượng thủy sản nuôi chủ lực",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004692
Công nhận lại doanh nghiệp nông nghiệp ứng dụng công nghệ cao,dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003371
Cấp giấy chứng nhận cơ sở đủ điều kiện nuôi trồng thủy sản (theo yêu cầu),dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004913
"Cấp giấy xác nhận thực vật biến đổi gen đủ điều kiện sử dụng làm thực phẩm, thức ăn chăn nuôi (trường hợp được ít nhất 05 (năm) nước phát triển cho phép sử dụng làm thực phẩm, thức ăn chăn nuôi)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004730
"Cấp, cấp lại giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản, sản phẩm xử lý môi trường nuôi trồng thủy sản (trừ nhà đầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004915
"Cấp giấy xác nhận thực vật biến đổi gen đủ điều kiện sử dụng làm thực phẩm, thức ăn chăn nuôi (trường hợp chưa đủ năm nước phát triển cho phép sử dụng làm thực phẩm, thức ăn chăn nuôi)",dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004728
