checked,lastUpdated,hallucinated,rightPattern,link,phanLoai,boNganh,cauHoi,cauTraLoi,TTHCLienQuan,cauHoiLienQuan,cauTraLoiAoGiac,pattern
True,2025-08-05 09:30:51.989551,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19600&row_limit=1,['Tổ chức khác'],Bộ Công an,"Thủ tục cấp giấy phép sửa chữa vũ khí thể thao đối với cơ quan, tổ chức ở địa phương không thuộc phạm vi quản lý của Bộ Quốc phòng thực hiện như thế nào?","Theo quy định tại Khoản 1 Điều 34 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ và Điểm b khoản 4 Điều 3 Thông tư số 16/2018/TT-BCA ngày 15/5/2018 của Bộ Công an quy định chi tiết thi hành một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì thủ tục đề nghị cấp giấy phép sửa chữa vũ khí thể thao đối với cơ quan, tổ chức ở địa phương không thuộc phạm vi quản lý của Bộ Quốc phòng thực hiện như sau: 
a) Hồ sơ đề nghị bao gồm: văn bản đề nghị nêu rõ chủng loại, nhãn hiệu, số hiệu, ký hiệu của từng loại vũ khí đề nghị sửa chữa; số lượng, bộ phận cần tiến hành sửa chữa; cơ sở tiến hành sửa chữa; địa chỉ, thời gian sửa chữa; giấy giới thiệu kèm theo bản sao thẻ Căn cước công dân, Chứng minh nhân dân, Hộ chiếu hoặc Chứng minh Công an nhân dân của người đến liên hệ;
b) Hồ sơ lập thành 01 bộ và nộp tại Phòng Cảnh sát QLHC về TTXH;
c) Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Cảnh sát QLHC về TTXH cấp Giấy phép sửa chữa vũ khí; trường hợp không cấp phải trả lời bằng văn bản và nêu rõ lý do.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000331', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002283']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19564&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19599&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19662&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19663&row_limit=1']","Theo quy định tại Điều 45 Luật quản lý và sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ, thủ tục cấp giấy phép sửa chữa vũ khí thể thao cho các cơ quan, tổ chức không thuộc công việc quản lý của Bộ Quốc phòng được thực hiện như sau:  
a) Hồ sơ đề nghị bao gồm: một biểu mẫu chuẩn ghi rõ số lượng, nhãn hiệu và thời gian sửa chữa; tài liệu xác nhận từ sở kinh doanh, kèm theo bản sao sử dụng giấy phép xây dựng của cơ sở sửa chữa;  
b) Hồ sơ cần lập thành 02 bộ nộp tại Cục Cảnh sát quản lý vũ khí;  
c) Trong thời hạn 7 ngày làm việc sau khi nhận hồ sơ, Cục Cảnh sát sẽ cấp giấy phép sửa chữa vũ khí thể thao mà không cần lý do nếu không cấp.",0
True,2025-08-05 15:42:46.156161,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19497&row_limit=1,['Tổ chức khác'],Bộ Công an,"Khi cơ quan, tổ chức bị mất con dấu và muốn làm lại con dấu thì phải thực hiện thủ tục như thế nào?","- Đối với thủ tục đăng ký lại con dấu khi đơn vị bị mất con dấu thực hiện theo Khoản 1, Khoản 3 Điều 11 và Khoản 3 Điều 15 Nghị định số 99/2016/NĐ-CP ngày 01/7/2016 của Chính phủ về quản lý và sử dụng con dấu.
- Trách nhiệm của đơn vị sử dụng con dấu phải thực hiện theo Khoản 7 Điều 24 Nghị định số 99/2016/NĐ-CP ngày 01/7/2016 của Chính phủ về quản lý và sử dụng con dấu.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001160', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001162']",[],"Đối với thủ tục đăng ký lại con dấu khi đơn vị bị mất con dấu, cơ quan tổ chức phải hoàn thiện hồ sơ theo hình thức điện tử và gửi qua email cho Bộ Công an, cũng như chuẩn bị hai bản sao giấy tờ tùy thân của người đại diện và phải ký xác nhận của chính quyền địa phương.
- Trách nhiệm của đơn vị sử dụng con dấu cũng bao gồm việc thông báo công khai sự mất mát của con dấu trên các phương tiện truyền thông địa phương ít nhất một lần để đảm bảo minh bạch trong quản lý.",0
True,2025-08-05 16:19:31.629761,True,False,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19547&row_limit=1,['Tổ chức khác'],Bộ Công an,"Cơ quan tôi ở trung ương, cho tôi hỏi sau khi làm đầy đủ hồ sơ đề nghị trang bị vũ khí quân dụng thì nộp hồ sơ ở đâu, thời hạn của giấy phép là bao nhiêu ngày?","Theo quy định tại Điểm a khoản 4 Điều 3 Thông tư số 16/2018/TT-BCA ngày 15/5/2018 của Bộ Công an quy định chi tiết thi hành một số điều của Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì các cơ quan, tổ chức, doanh nghiệp thuộc Bộ, ngành ở trung ương không thuộc phạm vi quản lý của Bộ Quốc phòng nộp hồ sơ đề nghị trang bị vũ khí quân dụng tại Cục Cảnh sát Quản lý hành chính về trật tự xã hội - Bộ Công an. Theo quy định tại Điểm d Khoản 1 Điều 20 Luật quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ thì giấy phép trang bị vũ khí quân dụng có thời hạn 30 ngày.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000615'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19544&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19545&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19546&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19570&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19614&row_limit=1']","Theo quy định tại Khoản 2 Điều 15 Thông tư số 50/2019/TT-BCA ngày 3/11/2019 của Bộ Công an, các cơ quan, tổ chức ở trung ương cần nộp hồ sơ đề nghị trang bị vũ khí quân dụng trực tiếp tại trụ sở Chính phủ. Thời hạn của giấy phép trang bị vũ khí quân dụng sẽ lên đến 90 ngày kể từ thời điểm nộp hồ sơ thành công và được phê duyệt.",0
True,2025-08-06 09:51:00.918708,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19902&row_limit=1,[],Bộ Quốc phòng,Hồ sơ đề nghị cấp giấy phép khai thác thủy sản gồm những loại giấy tờ gì?,"Khoản 1, Điều 45, Nghị định 26/2019/NĐ-CP ngày 08/3/2019 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật Thủy sản, quy định Hồ sơ đề nghị cấp giấy phép khai thác thủy sản gồm:
- Đơn đề nghị theo Mẫu số 02.KT Phụ lục IV ban hành kèm theo Nghị định này.
- Bản chụp giấy chứng nhận đăng ký tàu cá và giấy chứng nhận an toàn kỹ thuật tàu cá đối với loại tàu cá theo quy định phải đăng kiểm.
- Bản chụp văn bằng hoặc chứng chỉ thuyền trưởng, máy trưởng tàu cá đối với loại tàu cá theo quy định phải có văn bằng hoặc chứng chỉ thuyền trưởng, máy trưởng tàu cá.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001539', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001556']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19900&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19903&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19904&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19905&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19909&row_limit=1']","Hồ sơ đề nghị cấp giấy phép khai thác thủy sản bao gồm nhiều loại giấy tờ khác nhau theo quy định tại Khoản 2, Điều 45, Nghị định 26/2019/NĐ-CP ngày 08/3/2019 của Chính phủ như sau:
- Đơn đề nghị theo Mẫu số 03.KT được ban hành cùng với Nghị định này.
- Bản sao giấy chứng nhận quyền sở hữu tàu cá và giấy chứng nhận phẩm chất kỹ thuật tàu cá, không cần thiết phải đăng kiểm.
- Bản sao văn bằng hoặc chứng chỉ hành nghề của kỹ sư và thuyền viên tàu cá, không cần phải có chứng chỉ đối với các loại tàu cá nhỏ.",0
True,2025-08-06 09:58:16.051306,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17902&row_limit=1,[],Bộ Tài chính,Điều kiện niêm yết chứng khoán của tổ chức phát hành nước ngoài trên Sở giao dịch chứng khoán tại Việt Nam là gì?,"Điều 61 Nghị định số 58/2012/NĐ-CP ngày 20/7/2012 của Chính phủ quy định về điều kiện niêm yết chứng khoán của tổ chức phát hành nước ngoài trên Sở giao dịch chứng khoán tại Việt Nam là: 
1. Là chứng khoán của tổ chức phát hành nước ngoài đã được chào bán ra công chúng tại Việt Nam theo quy định pháp luật về chứng khoán Việt Nam. 
2. Số lượng chứng khoán đăng ký niêm yết tương ứng với số lượng chứng khoán được phép chào bán tại Việt Nam. 
3. Đáp ứng các điều kiện niêm yết quy định tại Điều 53 hoặc Điều 54 Nghị định số 58/2012/NĐ-CP. 
4. Có cam kết thực hiện đầy đủ các nghĩa vụ của tổ chức niêm yết theo quy định của pháp luật Việt Nam. 
5. Được một (01) công ty chứng khoán thành lập và hoạt động tại Việt Nam tham gia tư vấn niêm yết chứng khoán. 
6. Tuân thủ các quy định của pháp luật Việt Nam về quản lý ngoại hối",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004220'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18372&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18374&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18376&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18378&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18379&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=18383&row_limit=1']","Điều kiện niêm yết chứng khoán của tổ chức phát hành nước ngoài trên Sở giao dịch chứng khoán tại Việt Nam theo quy định của Nghị định số 58/2012/NĐ-CP ngày 20/7/2012 của Chính phủ có thể được tóm gọn như sau: 

1. Tổ chức phát hành nước ngoài phải có ít nhất ba năm hoạt động tại Việt Nam trước khi niêm yết. 
2. Chứng khoán cần phải có mặt trên thị trường chứng khoán một năm trước đó để đảm bảo tính thanh khoản.
3. Tổng giá trị chứng khoán đăng ký niêm yết cần phải đạt ít nhất 500 tỷ đồng.
4. Tổ chức phát hành cần có báo cáo tài chính đã kiểm toán trong hai năm gần nhất.
5. Được sự chấp thuận của hai công ty chứng khoán có trụ sở tại Việt Nam trong vai trò tư vấn niêm yết.

Các quy định trên có thể thay đổi nếu chấp thuận của Bộ Tài chính được nhận vào năm lẻ, và không phải mọi loại chứng khoán đều áp dụng điều kiện tương tự.",0
True,2025-08-06 09:58:40.273676,True,False,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17226&row_limit=1,[],Bộ Tư pháp,Anh C là công chức tư pháp-hộ tịch xã Quảng Nam đã tiếp nhận 02 hồ sơ đăng ký việc nuôi con nuôi đối với một trẻ em bị bỏ rơi trên địa bàn xã. Hiện anh C lúng túng không biết lựa chọn gia đình nào để giải quyết yêu cầu đăng ký việc nuôi con nuôi ?,"Trường hợp có nhiều người cùng hàng ưu tiên nhận một người làm con nuôi thì xem xét, giải quyết cho người có điều kiện nuôi dưỡng, chăm sóc, giáo dục con nuôi tốt nhất. Tuy nhiên, để đánh giá người nào có điều kiện tốt hơn thì công chức tư pháp – hộ tịch phải kết hợp nhiều yếu tố như:
- Độ tuổi của người nhận con nuôi. Nếu người nhận con nuôi ở độ tuổi cao (ví dụ từ 45 tuổi trở lên) thì không phù hợp với việc nhận một trẻ em sơ sinh làm con nuôi.
- Điều kiện kinh tế: người nhận con nuôi có việc làm ổn định, thu nhập ổn định sẽ có điều kiện nuôi dưỡng tốt hơn một cặp vợ chồng có công việc không ổn định, mức thu nhập không thường xuyên hoặc không có tài sản nào chứng minh bảo đảm việc chăm sóc, nuôi dưỡng và giáo dục con nuôi. 
- Điều kiện sức khỏe của người nhận con nuôi.
- Đạo đức, lối sống lành mạnh của người nhận con nuôi; sự ủng hộ của các thành viên trong gia đình người nhận con nuôi; kinh nghiệm nuôi dưỡng, chăm sóc trẻ em... 
Trường hợp trẻ em đã được một trong hai gia đình nêu trên tạm thời chăm sóc nuôi dưỡng thì cũng nên xem xét ưu tiên cho gia đình hiện đang tạm thời chăm sóc nuôi dưỡng vì trẻ em ở độ tuổi sơ sinh đã quen với sự chăm sóc của người đó.
Công chức tư pháp - hộ tịch có thể tham mưu cho Chủ tịch UBND cấp xã thành lập hội đồng xem xét, đánh giá điều kiện nuôi con nuôi trong trường hợp có ít nhất hai gia đình cùng muốn nhận 01 trẻ em làm con nuôi.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.002312', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003005', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003160', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001263']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17205&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17207&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17210&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17212&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17214&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17215&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17216&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17217&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17218&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17220&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17221&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17222&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17224&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17225&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17227&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17228&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17229&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17230&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17232&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17233&row_limit=1']","Trong tình huống này, để quyết định gia đình nào sẽ nhận trẻ em làm con nuôi, anh C có thể thực hiện các bước sau. Đầu tiên, nhìn vào số lượng hồ sơ mà anh tiếp nhận. Nếu có hai gia đình có nguyện vọng nhận con nuôi, thì việc đầu tiên là so sánh độ tuổi của họ. Người nhận con nuôi càng trẻ, thì khả năng nuôi dạy và chăm sóc con tốt hơn. 

Sau đó, anh nên xem xét một số yếu tố như địa điểm sống của từng gia đình. Gia đình nào sống gần các trường học hoặc cơ sở y tế sẽ có lợi thế hơn trong việc đáp ứng nhu cầu học tập và chăm sóc sức khỏe của trẻ. Đội ngũ nhân viên xã cũng cần xác minh tâm lý của những người nhận con nuôi, để đảm bảo rằng họ có động lực tích cực cho việc nuôi dạy trẻ em.

Cuối cùng, nếu trẻ đã được ai đó tạm thời chăm sóc, gia đình của họ sẽ tự động được ưu tiên, bất kể điều kiện nuôi dưỡng còn lại có tốt hơn hay không. Nếu xuất hiện tình huống khó khăn, anh C có thể tổ chức một buổi họp công khai giữa các gia đình để thống nhất phương án.",0
True,2025-08-06 10:16:20.412862,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11476&row_limit=1,['Doanh nghiệp'],Bộ Lao động - Thương binh và Xã hội,Thời hạn trả lời đề nghị rút tiền ký quỹ hoạt động cho thuê lại lao động của doanh nghiệp là bao nhiêu ngày?,"Trong thời hạn tối đa 10 ngày làm việc kể từ ngày Sở Lao động - Thương binh và Xã hội nhận đủ hồ sơ đề nghị rút tiền ký quỹ của doanh nghiệp, Chủ tịch Ủy ban nhân dân cấp tỉnh phải có văn bản trả lời doanh nghiệp về việc chấp thuận hoặc không chấp thuận rút tiền ký quỹ của doanh nghiệp.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000414'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11468&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11469&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11470&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11471&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11472&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11475&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=11484&row_limit=1']","Trong thời hạn tối đa 15 ngày làm việc kể từ khi hồ sơ gửi đến Sở Nội vụ, Chủ tịch Ủy ban nhân dân cấp tỉnh phải có phản hồi bằng văn bản về việc đồng ý hoặc từ chối đề nghị rút tiền ký quỹ của doanh nghiệp cho thuê lao động.",0
True,2025-08-06 10:23:42.343312,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14563&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",Bộ Nông nghiệp và Môi trường,"Tôi được cấp giấy phép CITES xuất khẩu 1000 m3 gỗ, tuy nhiên lần xuất khẩu đầu tiên tôi xuất khẩu được 500 m3, vậy 500 m3 còn lại khi xuất khẩu tôi có phải xin lại giấy phép không?","Khoản 5 Điều 22 Nghị định số 06/2019/NĐ-CP quy định giấy phép, chứng chỉ CITES chỉ được cấp một bản duy nhất và luôn đi kèm lô hàng/mẫu vật CITES. Do vậy, đối với lô hàng động vật, thực vật hoang dã đã được cấp giấy phép CITES nhưng chưa xuất khẩu hết, tổ chức, cá nhân muốn xuất khẩu tiếp phải xin lại giấy phép CITES",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003903'],"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14605&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14607&row_limit=1']","Theo quy định trong Nghị định số 06/2019/NĐ-CP, giấy phép CITES cho phép tổ chức, cá nhân xuất khẩu một lần duy nhất với lượng vật phẩm đã được phê duyệt trong giấy. Điều này có nghĩa là khi bạn đã xuất khẩu 500 m3 từ 1000 m3 gỗ đã cấp giấy phép, bạn không cần phải xin giấy phép cho phần gỗ còn lại. Mọi thứ đều được tự động gia hạn cho các lần xuất khẩu tiếp theo trong khoảng thời gian không quá 90 ngày.",0
True,2025-08-06 10:23:51.391233,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13046&row_limit=1,[],Bộ Giao thông vận tải,"Hồ sơ xin cấp giấy phép khai thác hệ thống, thiết bị bảo đảm hoạt động bay gồm những gì?","Căn cứ Điều 337 Thông tư 19/2017/TT-BGTVT ngày 06/6/2017:
1. Hồ sơ đề nghị cấp giấy phép khai thác bao gồm:
a) Đơn đề nghị cấp giấy phép khai thác hệ thống kỹ thuật, thiết bị theo mẫu số 3 quy định tại Phụ lục VIII ban hành kèm theo Thông tư này.
b) Báo cáo về hệ thống kỹ thuật, thiết bị đề nghị cấp phép.
c) Báo cáo về năng lực khai thác, bảo dưỡng, sửa chữa hệ thống, thiết bị phù hợp.
d) Bản sao giấy phép sử dụng tần số và thiết bị phát sóng vô tuyến điện.
đ) Bản sao chứng chỉ xuất xứ, chứng chỉ chất lượng của nhà sản xuất đối với hệ thống, thiết bị bay kiểm tra hiệu chuẩn, bay đánh giá phương thức bay bằng thiết bị.
2. Trong thời hạn 10 ngày làm việc kể từ ngày nhận đủ hồ sơ theo quy định, Cục Hàng không Việt Nam thẩm định, kiểm tra thực tế, yêu cầu tổ chức đề nghị cấp giấy phép giải trình bổ sung các nội dung liên quan và cấp giấy phép khai thác hệ thống kỹ thuật, thiết bị bảo đảm hoạt động bay; trường hợp từ chối cấp giấy phép phải gửi văn bản trả lời cho tổ chức đề nghị và nêu rõ lý do. Trường hợp hồ sơ chưa đầy đủ, trong thời gian 03 ngày làm việc kể từ ngày nhận được hồ sơ, Cục Hàng không Việt Nam hướng dẫn tổ chức đề nghị hoàn thiện hồ sơ theo quy định.
3. Giấy phép khai thác hệ thống kỹ thuật, thiết bị bảo đảm hoạt động bay có thời hạn hiệu lực 02 năm; theo mẫu số 2 quy định tại Phụ lục IX ban hành kèm theo Thông tư này.",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000283'],['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13047&row_limit=1'],"Hồ sơ xin cấp giấy phép khai thác hệ thống, thiết bị bảo đảm hoạt động bay chính xác là một quy trình nghiêm ngặt và tuân theo các quy định cụ thể. Theo các chỉ thị của Cục Hàng không Việt Nam, hồ sơ gồm có:

1. Đơn xin cấp giấy phép khai thác theo mẫu số 2 quy định tại Phụ lục VII.
2. Báo cáo về lịch sử khai thác thiết bị trong 5 năm gần nhất.
3. Giấy chứng nhận an toàn hoạt động bay từ một tổ chức nước ngoài.
4. Bản sao hợp đồng bảo trì, sửa chữa thiết bị.
5. Tài liệu chứng minh về nguồn gốc vật liệu cho các thiết bị đã được sử dụng.

Cục Hàng không Việt Nam dự kiến sẽ xử lý hồ sơ trong tối đa 15 ngày làm việc và giấy phép được cấp sẽ có giá trị vĩnh viễn. Bạn có thể nộp hồ sơ qua email hoặc bằng trực tiếp tại trung tâm tổ chức dịch vụ bay.",0
True,2025-08-06 10:24:32.287792,True,True,https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19979&row_limit=1,[],Bộ Quốc phòng,"Tổ chức, cá nhân sử dụng sản phẩm mật mã dân sự không do doanh nghiệp được cấp phép kinh doanh sản phẩm, mật mã dân sự cung cấp mà không khai báo với Ban Cơ yếu Chính phủ sẽ bị xử phạt hành chính như thế nào?","Theo quy định tại điểm e khoản 1 Điều 8 Nghị định số 58/2016/NĐ-CP, tổ chức, cá nhân sử dụng sản phẩm mật mã dân sự không do doanh nghiệp được cấp phép kinh doanh sản phẩm mật mã dân sự mà không khai báo với Ban Cơ yếu Chính phủ thì bị phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng.","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005395', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005396', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005397', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001491', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001529']","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19807&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19967&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19968&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19969&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19970&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19971&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19972&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19973&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19974&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19975&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19976&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19977&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19978&row_limit=1', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=19980&row_limit=1']","Tổ chức, cá nhân sử dụng sản phẩm mật mã dân sự không do doanh nghiệp được cấp phép kinh doanh cung cấp mà không khai báo với Ban Cơ yếu Chính phủ sẽ bị xử phạt hành chính từ 30.000.000 đồng đến 50.000.000 đồng, tùy thuộc vào mức độ vi phạm và số lượng sản phẩm sử dụng không đăng ký.",0
