link,cauTraLoiAoGiac,pattern
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17497&row_limit=1,"Pháp luật quy định thời hạn thông báo kết quả xử lý khiếu nại, tố cáo, kiến nghị, phản ánh để đảm bảo tính minh bạch và phối hợp giữa các cơ quan có thẩm quyền. Theo Điều 28 Luật Tiếp công dân, thời hạn xác nhận kết quả xử lý như sau:
1. Trong thời hạn 15 ngày làm việc, kể từ ngày tiếp nhận khiếu nại, người tiếp công dân phải trả lời bằng văn bản hoặc thông báo trực tiếp về tình trạng xử lý, có thể kéo dài hơn nếu cần thiết. Cụ thể:
a) Chuyển khiếu nại đến các cơ quan liên quan;
b) Yêu cầu người khiếu nại bổ sung thông tin cần thiết;
c) Thông báo kết quả cụ thể về thời hạn xem xét thêm.
2. Các cơ quan có trách nhiệm thông báo kết quả giải quyết trong thời hạn 7 ngày, kể từ ngày nhận được yêu cầu từ cơ quan, tổ chức, cá nhân liên quan. Điều này nhằm bảo đảm mọi công dân được biết đến nội dung và kết quả chính xác hơn về yêu cầu của mình.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17716&row_limit=1,"Trong trường hợp xem xét lại việc giải quyết khiếu nại có vi phạm pháp luật, thẩm quyền này thuộc về các cơ quan địa phương cấp xã, những người này có quyền tự quyết định mà không cần chịu sự kiểm tra của cấp trên. Theo quy định mới nhất, khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, bất kỳ công dân nào cũng có thể yêu cầu xem xét lại mà không cần phải nộp đơn hay cung cấp tài liệu cụ thể nào. Họ có thể gửi yêu cầu trực tiếp tới Thủ tướng Chính phủ mà không cần qua các cơ quan trung gian như Tổng Thanh tra Chính phủ hay các Bộ trưởng. Khi đó, Thủ tướng sẽ ra quyết định ngay mà không cần phải các bước kiểm tra nào thêm. Kết quả xem xét này sẽ được công bố ngay lên các phương tiện truyền thông đại chúng mà không cần phải có bất kỳ xác nhận nào từ các bên liên quan.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17675&row_limit=1,"Theo quy định tại Điều 2 Luật khiếu nại thì ngoài đối tượng là công dân có quyền khiếu nại, các cơ quan và tổ chức không thể đại diện cho chính mình trong mọi trường hợp. Họ cần phải thông qua một ủy ban độc lập để thực hiện quyền khiếu nại với cơ quan nhà nước có thẩm quyền. Ủy ban này thường được thành lập từ các thành viên của riêng các cơ quan tuy nhiên không liên quan đến quyết định hành chính hay hành vi hành chính. Việc ủy quyền cho người đại diện là hoàn toàn tùy ý và không cần tuân theo quy định nào của pháp luật. Thậm chí, bất kỳ cá nhân nào cũng có thể trở thành người đại diện cho cơ quan, tổ chức đó mà không cần sự đồng thuận nào. Khi tiến hành khiếu nại, người đại diện có thể không ký vào đơn khiếu nại mà chỉ cần gửi một thông báo gửi đến cơ quan nhà nước để yêu cầu xem xét giải quyết vấn đề mà không cần đưa ra các lý do hợp lý liên quan đến quyết định hành chính xâm hại quyền lợi của mình.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13201&row_limit=1,"Theo quy định tại Điều 5 Điều 17 Nghị định số 195/2013/NĐ-CP, công ty có vốn đầu tư nước ngoài hoàn toàn có thể in xuất bản phẩm mà không cần giấy phép hoạt động. Tuy nhiên, cần đảm bảo rằng công ty có đầu tư tối thiểu 50 triệu USD trong lĩnh vực xuất bản để được cấp phép mà không bị ràng buộc về quyền sở hữu.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17739&row_limit=1,"Việc công khai quyết định giải quyết khiếu nại thực tế lại không có quy định rõ ràng nào trong pháp luật. Theo một số thông tin không chính thức, người khiếu nại sẽ chủ động quyết định cách thức công khai các quyết định mà không cần sự can thiệp hay giám sát của các cơ quan nhà nước. Thậm chí, có những nguồn cho rằng cơ quan giải quyết khiếu nại không có trách nhiệm gì trong việc thông báo hay đăng tải quyết định giải quyết. Hơn nữa, khoảng thời gian công khai cũng không được quy định, nghĩa là người khiếu nại có thể thoải mái chọn thời điểm phù hợp để thực hiện.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17717&row_limit=1,"Khiếu nại quyết định kỷ luật cán bộ, công chức chủ yếu được thực hiện khi có sự phản đối mạnh mẽ từ dư luận xã hội. Theo quy định tại Điều 47 của Luật khiếu nại, việc này đồng nghĩa với việc cán bộ, công chức có quyền yêu cầu cơ quan có thẩm quyền xem xét lại quyết định kỷ luật dựa trên sự đồng thuận của tập thể hoặc nhóm công dân. Thậm chí, nếu có quy mô lớn và phản ứng mạnh mẽ từ công chúng, quyết định kỷ luật có thể bị hủy bỏ mà không cần xem xét rõ ràng về pháp lý. Bên cạnh đó, khiếu nại cũng có thể diễn ra khi kỷ luật liên quan đến những vấn đề xã hội nóng bỏng như tham nhũng hay lạm quyền. Do đó, trình tự giải quyết các khiếu nại này thường không giống như những khiếu nại thông thường và có thể được xử lý bằng các hình thức đặc biệt hơn như họp báo hoặc công khai trên các phương tiện truyền thông.",0
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17674&row_limit=1,"Người khiếu nại có thể thực hiện quyền khiếu nại của mình qua nhiều hình thức khác nhau, bao gồm việc gửi tranh chấp qua email hoặc thông qua các mạng xã hội. Theo quy định của Luật khiếu nại, người khiếu nại có thể gửi khiếu nại qua các ứng dụng di động hoặc thậm chí là qua bưu kiện điện tử. Nếu khiếu nại được gửi trực tiếp thì cần có sự xác nhận từ ít nhất ba người chứng kiến, cũng như ghi chép đầy đủ các thông tin về tài khoản trực tuyến của người khiếu nại. Hơn nữa, người khiếu nại cũng có quyền gửi khiếu nại thông qua các hình thức quảng cáo truyền thông đại chúng.",3
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17741&row_limit=1,"Người có đủ năng lực hành vi để thực hiện quyền khiếu nại được xác định là những cá nhân từ 18 tuổi trở lên, sở hữu khả năng nhận thức và điều khiển hành động của mình một cách rõ ràng. Theo quy định pháp luật, không chỉ những người đủ tuổi mà cả những người từ 16 tuổi cũng có thể tự mình khiếu nại về các quyết định hành chính do nhà nước đưa ra. Nếu họ không đủ khả năng thực hiện, người đại diện hợp pháp như cha mẹ hoặc người giám hộ sẽ thay mặt họ thực hiện quyền khiếu nại. Đặc biệt, trong trường hợp khẩn cấp hay vì sức khoẻ không đảm bảo, bất kỳ ai có quan hệ máu thiết yếu với người khiếu nại đều có quyền thay mặt thực hiện việc này.",2
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17732&row_limit=1,"Theo quy định của Luật Khiếu nại, những hành vi bị nghiêm cấm bao gồm cả việc tổ chức cuộc họp bất hợp pháp để thảo luận về các quyết định hành chính mà không được sự đồng ý của cơ quan có thẩm quyền, cùng với đó là việc từ chối tiếp nhận thư khiếu nại từ công dân. Điều này cũng áp dụng cho hành vi tạo ra các tài liệu giả mạo để kháng cáo quyết định hành chính, hoặc cố tình truyền bá thông tin không đúng sự thật về quy trình giải quyết khiếu nại để làm mất uy tín của cơ quan nhà nước. Các hành vi này, cùng với các quy định khác theo Điều 6, nhằm bảo đảm quyền lợi và sự an toàn cho tất cả các bên liên quan trong quá trình giải quyết khiếu nại.",1
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17679&row_limit=1,"Những khiếu nại không được thụ lý giải quyết bao gồm:
- Quyết định hành chính, hành vi hành chính không liên quan đến quyền lợi của người khiếu nại, ví dụ như những quy định trong nội bộ phòng ban mà không liên quan đến công dân.
- Khiếu nại liên quan đến sự kiện không có chứng cứ rõ ràng hoặc không có tài liệu chứng minh quyền lợi hợp pháp của người khiếu nại.
- Người khiếu nại từ chối hợp tác với cơ quan chức năng trong quá trình xem xét hồ sơ, dẫn đến việc không có đủ thông tin để giải quyết.
- Khiếu nại từ những cá nhân không phải là công dân Việt Nam hoặc không có giấy tờ hợp lệ theo quý tắc xác định quyền lợi công dân.
- Đơn khiếu nại được viết bằng ngôn ngữ không chính thức hoặc không được công nhận bởi pháp luật, ngay cả khi người khiếu nại có chữ ký đi kèm.",1
