link,cauTraLoiDung,danhGiaDung,cauTraLoiAoGiac,pattern,danhGiaAoGiac
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17497&row_limit=1,"Nhằm tránh tình trạng không trả lời hoặc trả lời chậm trễ các khiếu nại, tố cáo, kiến nghị, phản ánh của công dân, Điều 28 Luật Tiếp công dân quy định thời hạn thông báo kết quả xử lý khiếu nại, tố cáo, kiến nghị, phản ánh như sau:
1. Trong thời hạn 10 ngày làm việc, kể từ ngày tiếp nhận nội dung khiếu nại, tố cáo, kiến nghị, phản ánh, người tiếp công dân có trách nhiệm trả lời trực tiếp hoặc thông báo bằng văn bản đến người đã đến khiếu nại, tố cáo, kiến nghị, phản ánh về một trong các nội dung sau đây:
a) Khiếu nại, tố cáo, kiến nghị, phản ánh đã được thụ lý để giải quyết;
b) Việc xem xét khiếu nại, tố cáo để thụ lý cần kéo dài thời gian do cần xác minh thêm theo quy định của Luật Khiếu nại, Luật Tố cáo;
c) Từ chối thụ lý đối với khiếu nại, tố cáo không thuộc thẩm quyền giải quyết của cơ quan, tổ chức, đơn vị mình hoặc không đủ điều kiện thụ lý;
d) Nội dung khiếu nại, tố cáo, kiến nghị, phản ánh đã được chuyển đến cơ quan, tổ chức, đơn vị, cá nhân có thẩm quyền giải quyết.
2. Các cơ quan, tổ chức, cá nhân có thẩm quyền giải quyết khiếu nại, tố cáo có trách nhiệm thông báo kết quả giải quyết khiếu nại, tố cáo cho người khiếu nại, tố cáo theo quy định của pháp luật về khiếu nại, tố cáo.
Trong thời hạn 05 ngày làm việc, kể từ ngày nhận được thông báo kết quả giải quyết khiếu nại, tố cáo của các cơ quan, tổ chức, cá nhân có thẩm quyền giải quyết khiếu nại, tố cáo, cơ quan của Quốc hội, đại biểu Quốc hội, đại biểu Hội đồng nhân dân, Ban tiếp công dân có trách nhiệm thông báo cho người khiếu nại, tố cáo về kết quả giải quyết khiếu nại, tố cáo trong trường hợp người đó đã có yêu cầu trước đó.",,"Pháp luật quy định thời hạn thông báo kết quả xử lý khiếu nại, tố cáo, kiến nghị, phản ánh để đảm bảo tính minh bạch và phối hợp giữa các cơ quan có thẩm quyền. Theo Điều 28 Luật Tiếp công dân, thời hạn xác nhận kết quả xử lý như sau:
1. Trong thời hạn 15 ngày làm việc, kể từ ngày tiếp nhận khiếu nại, người tiếp công dân phải trả lời bằng văn bản hoặc thông báo trực tiếp về tình trạng xử lý, có thể kéo dài hơn nếu cần thiết. Cụ thể:
a) Chuyển khiếu nại đến các cơ quan liên quan;
b) Yêu cầu người khiếu nại bổ sung thông tin cần thiết;
c) Thông báo kết quả cụ thể về thời hạn xem xét thêm.
2. Các cơ quan có trách nhiệm thông báo kết quả giải quyết trong thời hạn 7 ngày, kể từ ngày nhận được yêu cầu từ cơ quan, tổ chức, cá nhân liên quan. Điều này nhằm bảo đảm mọi công dân được biết đến nội dung và kết quả chính xác hơn về yêu cầu của mình.",0,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17716&row_limit=1,"Đây là một vấn đề phức tạp có xảy ra trên thực tế, tuy không được Luật Khiếu nại quy định, nhưng để xử lý hiện trạng này, Nghị định 75/2012/NĐ-CP ngày 03/10/2012 quy định chi tiết một số điều của Luật Khiếu nại đã quy định cụ thể như sau (Điều 20): Khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, gây thiệt hại đến lợi ích của Nhà nước, quyền và lợi ích hợp pháp của công dân, cơ quan, tổ chức hoặc có tình tiết mới làm thay đổi nội dung vụ việc khiếu nại, Thủ tướng Chính phủ yêu cầu người có thẩm quyền giải quyết lại vụ việc khiếu nại hoặc giao Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang bộ kiểm tra, xem xét lại vụ việc, báo cáo Thủ tướng Chính phủ chỉ đạo giải quyết. Khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, gây thiệt hại đến lợi ích của Nhà nước, quyền và lợi ích hợp pháp của công dân, cơ quan, tổ chức hoặc có tình tiết mới làm thay đổi nội dung vụ việc khiếu nại, Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang bộ kiến nghị người có thẩm quyền giải quyết lại vụ việc khiếu nại hoặc báo cáo Thủ tướng Chính phủ.
- Kết quả kiểm tra, xem xét lại vụ việc khiếu nại được xử lý như sau:
Trường hợp Thủ tướng Chính phủ kết luận việc giải quyết khiếu nại là đúng pháp luật, người ra quyết định giải quyết khiếu nại tổ chức thi hành quyết định giải quyết khiếu nại và thông báo công khai chấm dứt việc xem xét, giải quyết vụ việc khiếu nại.
Trường hợp Thủ tướng Chính phủ kết luận việc giải quyết khiếu nại sai một phần hoặc sai toàn bộ, người ra quyết định giải quyết khiếu nại giải quyết lại vụ việc, sửa sai, khôi phục quyền và lợi ích hợp pháp của người khiếu nại và thông báo công khai việc giải quyết lại vụ việc khiếu nại.
Người giải quyết khiếu nại, người khiếu nại, người bị khiếu nại, người có quyền, nghĩa vụ liên quan, cơ quan, tổ chức, cá nhân có liên quan có trách nhiệm thực hiện chỉ đạo, kết luận của Thủ tướng Chính phủ; kiến nghị của Tổng Thanh tra Chính phủ, Bộ trưởng, Thủ trưởng cơ quan ngang bộ về việc giải quyết khiếu nại.",,"Trong trường hợp xem xét lại việc giải quyết khiếu nại có vi phạm pháp luật, thẩm quyền này thuộc về các cơ quan địa phương cấp xã, những người này có quyền tự quyết định mà không cần chịu sự kiểm tra của cấp trên. Theo quy định mới nhất, khi phát hiện việc giải quyết khiếu nại vi phạm pháp luật, bất kỳ công dân nào cũng có thể yêu cầu xem xét lại mà không cần phải nộp đơn hay cung cấp tài liệu cụ thể nào. Họ có thể gửi yêu cầu trực tiếp tới Thủ tướng Chính phủ mà không cần qua các cơ quan trung gian như Tổng Thanh tra Chính phủ hay các Bộ trưởng. Khi đó, Thủ tướng sẽ ra quyết định ngay mà không cần phải các bước kiểm tra nào thêm. Kết quả xem xét này sẽ được công bố ngay lên các phương tiện truyền thông đại chúng mà không cần phải có bất kỳ xác nhận nào từ các bên liên quan.",1,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17675&row_limit=1,"Theo quy định tại Điều 2 Luật khiếu nại thì ngoài đối tượng là công dân có quyền khiếu nại thì các cơ quan, tổ chức khi chịu tác động của các quyết định hành chính, hành vi hành chính mà có căn cứ cho rằng các quyết định, hành vi đó trái pháp luật xâm hại đến quyền và lợi ích hợp pháp của mình thì cũng có thể có quyền khiếu nại với cơ quan nhà nước có thẩm quyền. Cơ quan, tổ chức có quyền khiếu nại là cơ quan nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, tổ chức kinh tế, đơn vị vũ trang nhân dân. Do đó, khi cơ quan, tổ chức thực hiện quyền khiếu nại của mình cần phải thông qua người đại diện hợp pháp của cơ quan, tổ chức đó. Theo đó, cơ quan thực hiện quyền khiếu nại thông qua người đại diện là thủ trưởng cơ quan. Thủ trưởng cơ quan có thể ủy quyền cho người đại diện theo quy định của pháp luật để thực hiện quyền khiếu nại. Tổ chức, pháp nhân thực hiện quyền khiếu nại thông qua người đại diện là người đứng đầu tổ chức, pháp nhân được quy định trong quyết định thành lập tổ chức hoặc trong điều lệ của tổ chức, pháp nhân đó. Người đứng đầu tổ chức, pháp nhân có thể ủy quyền cho người đại diện theo quy định của pháp luật để thực hiện quyền khiếu nại.Nói như trên có nghĩa là cơ quan, tổ chức thực hiện quyền khiếu nại thông qua người đại diện hợp pháp của cơ quan, tổ chức mình. Khi tiến hành khiếu nại, người đại diện hợp pháp cho cơ quan, tổ chức đó sẽ là người ký vào đơn khiếu nại; trực tiếp đi khiếu nại, trình bày những căn cứ cho rằng quyết định hành chính, hành vi hành chính đó xâm phạm đến quyền và lợi ích hợp pháp của cơ quan, tổ chức mình và đề nghị cơ quan nhà nước có thẩm quyền xem xét, giải quyết và bảo vệ các quyền, lợi ích hợp pháp của cơ quan, tổ chức mình đáng được hưởng.",,"Theo quy định tại Điều 2 Luật khiếu nại thì ngoài đối tượng là công dân có quyền khiếu nại, các cơ quan và tổ chức không thể đại diện cho chính mình trong mọi trường hợp. Họ cần phải thông qua một ủy ban độc lập để thực hiện quyền khiếu nại với cơ quan nhà nước có thẩm quyền. Ủy ban này thường được thành lập từ các thành viên của riêng các cơ quan tuy nhiên không liên quan đến quyết định hành chính hay hành vi hành chính. Việc ủy quyền cho người đại diện là hoàn toàn tùy ý và không cần tuân theo quy định nào của pháp luật. Thậm chí, bất kỳ cá nhân nào cũng có thể trở thành người đại diện cho cơ quan, tổ chức đó mà không cần sự đồng thuận nào. Khi tiến hành khiếu nại, người đại diện có thể không ký vào đơn khiếu nại mà chỉ cần gửi một thông báo gửi đến cơ quan nhà nước để yêu cầu xem xét giải quyết vấn đề mà không cần đưa ra các lý do hợp lý liên quan đến quyết định hành chính xâm hại quyền lợi của mình.",1,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13201&row_limit=1,"Tại điểm b Khoản 1 Điều 13 Nghị định số 195/2013/NĐ-CP ngày 21/11/2013 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành luật xuất bản quy định: “Cơ sở in được cấp giấy phép hoạt động in xuất bản phẩm khi Chủ sở hữu là tổ chức, cá nhân Việt Nam”.","**Tôi đánh giá là ""Không""**, vì câu trả lời đã cung cấp thông tin sai. Theo quy định tại Điều 5, Điều 17","Theo quy định tại Điều 5 Điều 17 Nghị định số 195/2013/NĐ-CP, công ty có vốn đầu tư nước ngoài hoàn toàn có thể in xuất bản phẩm mà không cần giấy phép hoạt động. Tuy nhiên, cần đảm bảo rằng công ty có đầu tư tối thiểu 50 triệu USD trong lĩnh vực xuất bản để được cấp phép mà không bị ràng buộc về quyền sở hữu.",1,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17739&row_limit=1,"Khoản 2 Điều 41 Luật Khiếu nại năm 2012 quy định người giải quyết khiếu nại lần hai lựa chọn một hoặc một số hình thức sau đây để công khai quyết định giải quyết khiếu nại:
- Công bố tại cuộc họp cơ quan, tổ chức nơi người bị khiếu nại công tác;
- Niêm yết tại trụ sở làm việc hoặc nơi tiếp công dân của cơ quan, tổ chức đã giải quyết khiếu nại;
- Thông báo trên phương tiện thông tin đại chúng.
Điều 12 Nghị định số 75/2012/NĐ-CP quy định cụ thể việc thực hiện công khai quyết định giải quyết khiếu nại như sau:
- Trong thời hạn 15 ngày, kể từ khi có quyết định giải quyết khiếu nại, người có thẩm quyền giải quyết khiếu nại lần hai có trách nhiệm công khai quyết định giải quyết khiếu nại theo một trong các hình thức quy định tại Khoản 2 Điều 41 của Luật khiếu nại.
- Trường hợp công bố tại cuộc họp thì thành phần tham dự cuộc họp phải bao gồm: Người ra quyết định giải quyết khiếu nại, người khiếu nại hoặc người đại diện, người bị khiếu nại và cơ quan, tổ chức, cá nhân có liên quan. Trước khi tiến hành cuộc họp công khai, người có thẩm quyền giải quyết khiếu nại phải có văn bản thông báo với cơ quan, tổ chức, cá nhân có liên quan biết. Thời gian thông báo phải trước 3 ngày làm việc.
- Việc thông báo quyết định giải quyết khiếu nại trên các phương tiện thông tin đại chúng được thực hiện trên báo nói, báo hình, báo viết, báo điện tử. Người có thẩm quyền giải quyết khiếu nại có trách nhiệm lựa chọn một trong các phương tiện thông tin đại chúng để thực hiện việc thông báo. Trường hợp cơ quan của người có thẩm quyền giải quyết khiếu nại có cổng thông tin điện tử hoặc trang thông tin điện tử, phải công khai trên cổng thông tin điện tử hoặc trang thông tin điện tử. Số lần thông báo trên báo nói ít nhất 02 lần phát sóng; trên báo hình ít nhất 02 lần phát sóng; trên báo viết ít nhất 02 số phát hành; thời gian đăng tải trên báo điện tử, trên cổng thông tin điện tử hoặc trên trang thông tin điện tử ít nhất là 15 ngày, kể từ ngày đăng thông báo.
- Trường hợp niêm yết tại trụ sở làm việc hoặc nơi tiếp công dân của cơ quan, tổ chức đã giải quyết khiếu nại, thời gian niêm yết quyết định giải quyết khiếu nại ít nhất là 15 ngày, kể từ ngày niêm yết.",,"Việc công khai quyết định giải quyết khiếu nại thực tế lại không có quy định rõ ràng nào trong pháp luật. Theo một số thông tin không chính thức, người khiếu nại sẽ chủ động quyết định cách thức công khai các quyết định mà không cần sự can thiệp hay giám sát của các cơ quan nhà nước. Thậm chí, có những nguồn cho rằng cơ quan giải quyết khiếu nại không có trách nhiệm gì trong việc thông báo hay đăng tải quyết định giải quyết. Hơn nữa, khoảng thời gian công khai cũng không được quy định, nghĩa là người khiếu nại có thể thoải mái chọn thời điểm phù hợp để thực hiện.",3,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17717&row_limit=1,"Nhằm làm rõ về khiếu nại quyết định kỷ luật cán bộ, công chức, Điều 47 của Luật khiếu nại quy định: khiếu nại quyết định kỷ luật là việc cán bộ, công chức theo thủ tục do Luật này quy định đề nghị cơ quan, tổ chức, cá nhân có thẩm quyền xem xét lại quyết định kỷ luật cán bộ, công chức khi có căn cứ cho rằng quyết định đó là trái pháp luật, xâm phạm trực tiếp đến quyền và lợi ích hợp pháp của mình. Do vị trí của cán bộ, công chức có những điểm khác so với những chủ thể khiếu nại khác là công dân, người nước ngoài, cho nên trình tự, thủ tục giải quyết khiếu nại quyết định kỷ luật cũng có những điểm khác so với việc giải quyết khiếu nại quyết định hành chính thông thường. Chẳng hạn như việc quy định người đứng đầu cơ quan, tổ chức có thẩm quyền quản lý cán bộ, công chức theo phân cấp có thẩm quyền giải quyết khiếu nại đối với quyết định kỷ luật do mình ban hành. Trường hợp còn khiếu nại tiếp thì người đứng đầu cơ quan, tổ chức cấp trên trực tiếp của cơ quan, tổ chức quản lý cán bộ, công chức có thẩm quyền giải quyết tiếp theo. Ở đây, việc khởi kiện ra toà án để xem xét việc kỷ luật có sự hạn chế so với khiếu nại quyết định hành chính khác và Luật khiếu nại chỉ quy định việc khởi kiện ra toà án sẽ được thực hiện trong trường hợp quyết định kỷ luật buộc thôi việc.",,"Khiếu nại quyết định kỷ luật cán bộ, công chức chủ yếu được thực hiện khi có sự phản đối mạnh mẽ từ dư luận xã hội. Theo quy định tại Điều 47 của Luật khiếu nại, việc này đồng nghĩa với việc cán bộ, công chức có quyền yêu cầu cơ quan có thẩm quyền xem xét lại quyết định kỷ luật dựa trên sự đồng thuận của tập thể hoặc nhóm công dân. Thậm chí, nếu có quy mô lớn và phản ứng mạnh mẽ từ công chúng, quyết định kỷ luật có thể bị hủy bỏ mà không cần xem xét rõ ràng về pháp lý. Bên cạnh đó, khiếu nại cũng có thể diễn ra khi kỷ luật liên quan đến những vấn đề xã hội nóng bỏng như tham nhũng hay lạm quyền. Do đó, trình tự giải quyết các khiếu nại này thường không giống như những khiếu nại thông thường và có thể được xử lý bằng các hình thức đặc biệt hơn như họp báo hoặc công khai trên các phương tiện truyền thông.",0,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17674&row_limit=1,"Hình thức khiếu nại là cách thức thực hiện quyền khiếu nại của công dân để bảo vệ quyền, lợi ích hợp pháp của mình. Theo quy định tại Điều 8 của Luật khiếu nại thì người khiếu nại có thể khiếu nại bằng hai hình thức là khiếu nại thông qua đơn hoặc trực tiếp đến khiếu nại. Trường hợp khiếu nại được thực hiện bằng đơn thì trong đơn khiếu nại phải ghi rõ ngày, tháng, năm khiếu nại; tên, địa chỉ của người khiếu nại; tên, địa chỉ của cơ quan, tổ chức, cá nhân bị khiếu nại; nội dung, lý do khiếu nại; tài liệu liên quan đến nội dung khiếu nại và yêu cầu giải quyết của người khiếu nại. Đơn khiếu nại phải do người khiếu nại ký tên hoặc điểm chỉ. Trường hợp người khiếu nại đến khiếu nại trực tiếp thì người tiếp nhận khiếu nại hướng dẫn người khiếu nại viết đơn khiếu nại hoặc người tiếp nhận khiếu nại ghi lại việc khiếu nại bằng văn bản và yêu cầu người khiếu nại ký hoặc điểm chỉ xác nhận vào văn bản, trong đó ghi rõ ngày, tháng, năm khiếu nại; tên, địa chỉ của người khiếu nại; tên, địa chỉ của cơ quan, tổ chức, cá nhân bị khiếu nại; nội dung, lý do khiếu nại; tài liệu liên quan đến nội dung khiếu nại và yêu cầu giải quyết của người khiếu nại.",,"Người khiếu nại có thể thực hiện quyền khiếu nại của mình qua nhiều hình thức khác nhau, bao gồm việc gửi tranh chấp qua email hoặc thông qua các mạng xã hội. Theo quy định của Luật khiếu nại, người khiếu nại có thể gửi khiếu nại qua các ứng dụng di động hoặc thậm chí là qua bưu kiện điện tử. Nếu khiếu nại được gửi trực tiếp thì cần có sự xác nhận từ ít nhất ba người chứng kiến, cũng như ghi chép đầy đủ các thông tin về tài khoản trực tuyến của người khiếu nại. Hơn nữa, người khiếu nại cũng có quyền gửi khiếu nại thông qua các hình thức quảng cáo truyền thông đại chúng.",3,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17741&row_limit=1,"Người khiếu nại phải là người có năng lực hành vi dân sự đầy đủ theo quy định của pháp luật. Trường hợp người khiếu nại là người chưa thành niên, người mất năng lực hành vi dân sự thì người đại diện theo pháp luật của họ thực hiện việc khiếu nại (điểm a khoản 1 Điều 12 Luật Khiếu nại). Theo Bộ luật Dân sự thì người có năng lực hành vi dân sự đầy đủ phải là người đủ 18 tuổi và không bị mắc các bệnh tâm thần hoặc bệnh khác mà không thể nhận thức hoặc điều khiển được hành vi của mình hoặc bị hạn chế năng lực hành vi do nghiện ma túy hoặc các chất kích thích khác. Tuy nhiên, trong một số trường hợp, người chưa có năng lực hành vi đầy đủ có thể tự mình khiếu nại. Luật Xử lý vi phạm hành chính quy định người từ 16 tuổi trở lên phải chịu trách nhiệm về mọi hành vi vi phạm hành chính do mình gây ra, khi không đồng ý với quyết định xử lý hành chính của cơ quan nhà nước có thẩm quyền thì có thể tự mình thực hiện việc khiếu nại quyết định đó. Đối với trường hợp người khiếu nại không có năng lực hành vi dân sự đầy đủ (là người chưa thành niên, người bị bệnh tâm thần hoặc mắc bệnh khác mà không thể nhận thức, làm chủ được hành vi của mình) thì người đại diện theo pháp luật của họ thực hiện việc khiếu nại. Trường hợp người khiếu nại ốm đau, già yếu, có nhược điểm về thể chất hoặc vì lý do khách quan khác mà không thể tự mình khiếu nại thì được ủy quyền cho cha, mẹ, vợ, chồng, anh, chị, em ruột, con đã thành niên hoặc người khác có năng lực hành vi dân sự đầy đủ để thực hiện việc khiếu nại.",,"Người có đủ năng lực hành vi để thực hiện quyền khiếu nại được xác định là những cá nhân từ 18 tuổi trở lên, sở hữu khả năng nhận thức và điều khiển hành động của mình một cách rõ ràng. Theo quy định pháp luật, không chỉ những người đủ tuổi mà cả những người từ 16 tuổi cũng có thể tự mình khiếu nại về các quyết định hành chính do nhà nước đưa ra. Nếu họ không đủ khả năng thực hiện, người đại diện hợp pháp như cha mẹ hoặc người giám hộ sẽ thay mặt họ thực hiện quyền khiếu nại. Đặc biệt, trong trường hợp khẩn cấp hay vì sức khoẻ không đảm bảo, bất kỳ ai có quan hệ máu thiết yếu với người khiếu nại đều có quyền thay mặt thực hiện việc này.",2,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17732&row_limit=1,"Điều 6 Luật Khiếu nại quy định những hành vi bị nghiêm cấm như sau:
1. Cản trở, gây phiền hà cho người thực hiện quyền khiếu nại; đe dọa, trả thù, trù dập người khiếu nại.
2. Thiếu trách nhiệm trong việc giải quyết khiếu nại; không giải quyết khiếu nại; làm sai lệch các thông tin, tài liệu, hồ sơ vụ việc khiếu nại; cố ý giải quyết khiếu nại trái pháp luật.
3. Ra quyết định giải quyết khiếu nại không bằng hình thức quyết định.
4. Bao che cho người bị khiếu nại; can thiệp trái pháp luật vào việc giải quyết khiếu nại.
5. Cố tình khiếu nại sai sự thật.
6. Kích động, xúi giục, cưỡng ép, dụ dỗ, mua chuộc, lôi kéo người khác tập trung đông người khiếu nại, gây rối an ninh trật tự công cộng.
7. Lợi dụng việc khiếu nại để tuyên truyền chống Nhà nước, xâm phạm lợi ích của Nhà nước; xuyên tạc, vu khống, đe dọa, xúc phạm uy tín, danh dự của cơ quan, tổ chức, người có trách nhiệm giải quyết khiếu nại, người thi hành nhiệm vụ, công vụ khác.
8. Vi phạm quy chế tiếp công dân.",,"Theo quy định của Luật Khiếu nại, những hành vi bị nghiêm cấm bao gồm cả việc tổ chức cuộc họp bất hợp pháp để thảo luận về các quyết định hành chính mà không được sự đồng ý của cơ quan có thẩm quyền, cùng với đó là việc từ chối tiếp nhận thư khiếu nại từ công dân. Điều này cũng áp dụng cho hành vi tạo ra các tài liệu giả mạo để kháng cáo quyết định hành chính, hoặc cố tình truyền bá thông tin không đúng sự thật về quy trình giải quyết khiếu nại để làm mất uy tín của cơ quan nhà nước. Các hành vi này, cùng với các quy định khác theo Điều 6, nhằm bảo đảm quyền lợi và sự an toàn cho tất cả các bên liên quan trong quá trình giải quyết khiếu nại.",1,
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17679&row_limit=1,"Khiếu nại thuộc một trong các trường hợp sau không được thụ lý giải quyết:
- Quyết định hành chính, hành vi hành chính trong nội bộ cơ quan nhà nước để chỉ đạo, tổ chức thực hiện nhiệm vụ, công vụ; quyết định hành chính, hành vi hành chính trong chỉ đạo điều hành của cơ quan hành chính cấp trên với cơ quan hành chính cấp dưới; quyết định hành chính có chứa đựng các quy phạm pháp luật do cơ quan, tổ chức, cá nhân có thẩm quyền ban hành theo trình tự, thủ tục của pháp luật về ban hành văn bản quy phạm pháp luật; quyết định hành chính, hành vi hành chính thuộc phạm vi bí mật nhà nước trong các lĩnh vực quốc phòng, an ninh, ngoại giao theo danh mục do Chính phủ quy định.
- Quyết định hành chính, hành vi hành chính bị khiếu nại không liên quan trực tiếp đến quyền, lợi ích hợp pháp của người khiếu nại.
- Người khiếu nại không có năng lực hành vi dân sự đầy đủ mà không có người đại diện hợp pháp.
- Người đại diện không hợp pháp thực hiện khiếu nại.
- Đơn khiếu nại không có chữ ký hoặc điểm chỉ của người khiếu nại. Cần lưu ý đơn khiếu nại mà chữ ký hoặc điểm chỉ dưới dạng bản sao (photo) không được coi là có chữ ký và điểm chỉ.
- Thời hiệu, thời hạn khiếu nại đã hết mà không có lý do chính đáng.
- Khiếu nại đã có quyết định giải quyết khiếu nại lần hai.
- Có văn bản thông báo đình chỉ việc giải quyết khiếu nại mà sau 30 ngày người khiếu nại không tiếp tục khiếu nại.
- Việc khiếu nại đã được tòa án thụ lý hoặc đã được giải quyết bằng bản án, quyết định của toà án, trừ quyết định đình chỉ giải quyết vụ án hành chính của tòa án.",,"Những khiếu nại không được thụ lý giải quyết bao gồm:
- Quyết định hành chính, hành vi hành chính không liên quan đến quyền lợi của người khiếu nại, ví dụ như những quy định trong nội bộ phòng ban mà không liên quan đến công dân.
- Khiếu nại liên quan đến sự kiện không có chứng cứ rõ ràng hoặc không có tài liệu chứng minh quyền lợi hợp pháp của người khiếu nại.
- Người khiếu nại từ chối hợp tác với cơ quan chức năng trong quá trình xem xét hồ sơ, dẫn đến việc không có đủ thông tin để giải quyết.
- Khiếu nại từ những cá nhân không phải là công dân Việt Nam hoặc không có giấy tờ hợp lệ theo quý tắc xác định quyền lợi công dân.
- Đơn khiếu nại được viết bằng ngôn ngữ không chính thức hoặc không được công nhận bởi pháp luật, ngay cả khi người khiếu nại có chữ ký đi kèm.",1,
