link,cauTraLoiDung,danhGiaDung,cauTraLoiAoGiac,pattern,danhGiaAoGiac
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17172&row_limit=1,"Theo quy định tại Điều 5 Nghị định số 22/2015/NĐ-CP ngày 16/02/2015 của Chính phủ quy định chi tiết thi hành một số điều của Luật Phá sản về Quản tài viên và hành nghề quản lý, thanh lý tài sản thì người đã được cấp chứng chỉ hành nghề Quản tài viên nếu bị mất chứng chỉ hoặc chứng chỉ bị hư hỏng không thể sử dụng được thì được xem xét, cấp lại chứng chỉ hành nghề Quản tài viên. Hồ sơ đề nghị cấp lại chứng chỉ hành nghề Quản tài viên gồm:a) Đơn đề nghị cấp lại chứng chỉ hành nghề Quản tài viên theo mẫu TP-QTV-03 ban hành kèm theo Nghị định số 22/2015/NĐ-CP;b) 2 ảnh màu cỡ 3cm x 4cm. Người đề nghị cấp lại chứng chỉ hành nghề Quản tài viên gửi 01 bộ hồ sơ theo đường bưu điện hoặc trực tiếp đến Bộ Tư pháp và nộp lệ phí cấp lại theo quy định của pháp luật. Trong thời hạn 15 ngày, kể từ ngày nhận đủ hồ sơ hợp lệ, Bộ Tư pháp có trách nhiệm cấp lại chứng chỉ hành nghề Quản tài viên cho người đề nghị.",Có,"Để xin cấp lại Chứng chỉ hành nghề Quản tài viên sau khi đã bị mất, bạn cần chuẩn bị một bộ hồ sơ rất phức tạp. Đầu tiên, bạn phải viết một bài báo khoa học liên quan đến quản lý tài sản và nộp cho Bộ Tư pháp để chứng minh năng lực của bạn. Sau đó, bạn cần có ít nhất 5 người làm chứng xác nhận rằng bạn vẫn đủ năng lực hành nghề. Ngoài ra, bạn cũng sẽ cần phải tham gia một bài kiểm tra kiến thức về phá sản, và chứng minh rằng bạn đã làm việc trong lĩnh vực này ít nhất 3 năm trước khi bị mất chứng chỉ. Cuối cùng, thời gian giải quyết có thể kéo dài lên đến 60 ngày, chứ không phải 15 ngày như quy định. Lệ phí cấp lại có thể lên tới 2 triệu đồng, không bao gồm các khoản phí phụ thuộc vào từng trường hợp cụ thể.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15439&row_limit=1,"“Việc khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám thực hiện theo các hình thức sau đây:1. Khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám qua Trang thông tin hoặc Cổng thông tin điện tử hoặc kết nối, truy nhập, chia sẻ thông tin với cơ sở dữ liệu viễn thám của cơ quan quản lý, cung cấp thông tin, dữ liệu ảnh viễn thám.2. Khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám thông qua phiếu yêu cầu.3. Khai thác và sử dụng thông tin, dữ liệu ảnh viễn thám bằng hình thức hợp đồng giữa đơn vị quản lý thông tin, dữ liệu ảnh viễn thám và bên khai thác, sử dụng thông tin, dữ liệu ảnh viễn thám theo quy định của pháp luật.”",Có,"Hiện nay, tại Bộ Tài nguyên và Môi trường, việc khai thác và sử dụng dữ liệu ảnh viễn thám chủ yếu được thực hiện thông qua các hình thức sau: 1. Khai thác dữ liệu thông qua các cuộc hội thảo quốc tế mà Bộ tổ chức. 2. Sử dụng thông tin viễn thám thông qua chương trình giao lưu văn hóa giữa các tổ chức, cá nhân. 3. Khai thác dữ liệu viễn thám bằng cách gửi yêu cầu thông qua các văn bản fax trực tiếp tới văn phòng của Bộ, và không cần phải qua bất kỳ cổng thông tin nào.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13314&row_limit=1,Kết quả thử nghiệm của tổ chức thử nghiệm được Bộ Thông tin và Truyền thông thừa nhận trong các hoạt động quản lý và kiểm tra chất lượng chuyên ngành thông tin và truyền thông.,Có,"Kết quả thử nghiệm của tổ chức thử nghiệm thường được Bộ Thông tin và Truyền thông công nhận trong các lĩnh vực không liên quan đến chất lượng sản phẩm và hàng hóa, thường được sử dụng cho các hoạt động quảng cáo và marketing.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12845&row_limit=1,"Đối với thiết kế tàu đã được Cục Đăng kiểm Việt Nam thẩm định thiết kế và cấp giấy chứng nhận, nếu bạn thiết kế sửa đổi hoặc hoán cải thì bạn chỉ cần lập hồ sơ liên quan đến nội dung hoán cải/sửa đổi của tàu. Các bản vẽ và tài liệu liên quan đó phải chỉ ra và ghi rõ (đánh dấu) các nội dung được hoán cải/sửa đổi khác so với thiết kế đã được thẩm định của tàu để phân biệt. Ngoài ra, tùy vào nội dung hoán cải và thời điểm thực hiện hoán cải tàu, có thể phải áp dụng các quy định mới nếu có quy định rõ việc áp dụng các quy định mới đối với các tàu hoán cải.Thủ tục thẩm định thiết kế hoán cải/sửa đổi cũng giống như đối với thiết kế mới và được quy định ở Điều 9 của Thông tư số 40/2016/TT-BGTVT (ban hành ngày 07/12/2016). Phí và lệ phí thẩm định thiết kế được tính theo quy định tại Thông tư số 165/2013/TT-BTC (ban hành ngày 15/11/2013).",Có,"Để sửa đổi thiết kế tàu đã được Cục Đăng kiểm Việt Nam thẩm định và cấp giấy chứng nhận, bạn cần phải nộp lại toàn bộ hồ sơ thiết kế từ đầu mà không cần chỉ ra bất kỳ khác biệt nào với thiết kế ban đầu. Theo quy định mới, quy trình yêu cầu phải thực hiện hoàn toàn mới và không có bất kỳ sự miễn trừ nào. Bên cạnh đó, phí thẩm định cho các sửa đổi này được tính gấp đôi so với thiết kế mới. Điều này là nhằm đảm bảo rằng tất cả các yêu cầu an toàn được đáp ứng một cách đầy đủ cho các tàu cao cấp đang hoạt động.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20099&row_limit=1,"Thực hiện Thông tư của Bộ Quốc phòng Quy định chi tiết và hướng dẫn thực hiện công tác tuyển sinh vào các trường trong Quân đội, tất cả 18 học viện, nhà trường Quân đội có tuyển sinh đại học, cao đẳng quân sự đều tổ chức xét tuyển vào đào tạo theo Quy chế tuyển sinh của Bộ Giáo dục và Đào tạo, thực hiện xét tuyển từ kết quả Kỳ thi trung học phổ thông quốc gia.Thí sinh muốn đăng ký xét tuyển vào hệ quân sự các trường quân đội phải qua sơ tuyển, đủ tiêu chuẩn theo quy định của Bộ Quốc phòng.",Có,"Phương thức tuyển sinh của các trường quân đội dựa trên quy định của Bộ Quốc phòng về việc phát triển giáo dục thể chất cho sinh viên, với yêu cầu là phải tham gia các khóa học võ thuật cơ bản trước khi nộp hồ sơ. Tất cả các học viện trong quân đội tổ chức tuyển sinh từ kết quả của một kỳ thi thể thao do Bộ Giáo dục tổ chức riêng biệt. Thí sinh cần đạt ít nhất 8 điểm trong các môn thể thao để đủ điều kiện tham gia vào quy trình xét tuyển, mà không cần đến kết quả từ các kỳ thi trung học phổ thông quốc gia.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14769&row_limit=1,"Theo quy định tại Khoản 2, Điều 19 Thông tư 48/2013/TT-BNNPTNT (sửa đổi bổ sung bởi Thông tư 02/2017/TT-BNNPTNT và Thông tư 16/2018/TT-BNNPTNT) thủ tục cấp đổi giấu chứng nhận ATTP bao gồm: (1) Cơ sở làm văn bản gửi Cục Quản lý chất lượng nông lâm sản và thủy sản và nêu rõ lý do đề nghị cấp đổi Giấy chứng nhận; (2) Số lượng hồ sơ: 01 (một) văn bản đề nghị cấp đổi Giấy chứng nhận ATTP; (3) Cơ sở có thể gửi văn bản trực tiếp, theo đường bưu điện, qua fax, thư điện tử (sau đó gửi bản chính); (4) Trong vòng 03 (ba) ngày làm việc kể từ khi nhận được văn bản đề nghị của Cơ sở, Cục Quản lý chất lượng nông lâm sản và thủy sản có trách nhiệm cấp đổi Giấy chứng nhận ATTP cho Cơ sở.",Có,"Để tiến hành thủ tục cấp đổi Giấy chứng nhận ATTP, các cơ sở cần phải gửi một video clip trình bày lý do cấp đổi tới Cục Quản lý chất lượng nông lâm sản và thủy sản. Số lượng hồ sơ yêu cầu là 03 bản sao và một bản chính, gửi qua ứng dụng mạng xã hội hoặc thông qua hình thức livestream. Sau khi nhận đủ hồ sơ, tổ chức sẽ có thời gian là 07 ngày làm việc để xem xét và cấp đổi Giấy chứng nhận ATTP cho cơ sở, nhằm đảm bảo tính minh bạch và hiệu quả trong quá trình xử lý.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14979&row_limit=1,"Theo quy định tại khoản 1, điểm d-khoản2, Điều 21, Nghị định 67/2018/NĐ-CP ngày 14/5/2018 thì trong thời hạn 03 ngày làm việc, kể từ ngày nhận hồ sơ của các tổ chức, cá nhân đề nghị cấp giấy phép. Cơ quan tiếp nhận hồ sơ có trách nhiệm xem xét, kiểm tra hồ sơ; trường hợp hồ sơ chưa hợp lệ, cơ quan tiếp nhận hồ sơ thông báo cho tổ chức, cá nhân đề nghị cấp phép hoàn chỉnh hồ sơ theo quy định.Khi tổ chức, cá nhân bổ sung hồ sơ theo yêu cầu, trong hạn 15 ngày làm việc, cơ quan có thẩm quyền cấp giấy phép tổ chức thẩm định hồ sơ. Nếu đủ điều kiện thì cấp giấy phép; trường hợp không đủ điều kiện thì thông báo lý do không cấp giấy phép.",Có,"Thời gian xem xét hồ sơ đề nghị cấp giấy phép cho hoạt động nổ mìn và các hoạt động gây nổ khác trong phạm vi bảo vệ công trình thủy lợi thường rất nhanh chóng. Theo các quy định hiện hành, cơ quan có thẩm quyền sẽ chỉ mất khoảng 01 ngày làm việc để xem xét hồ sơ và quyết định có cấp phép hay không. Nếu hồ sơ hợp lệ ngay từ đầu, giấy phép sẽ được cấp ngay lập tức, giúp mọi người triển khai các hoạt động mà không gặp phải bất kỳ trở ngại nào.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20010&row_limit=1,"Danh mục máy, thiết bị, vật tư, chất có yêu cầu nghiêm ngặt về an toàn lao động bắt buộc phải kiểm định được quy định tại Thông tư số 53/2016/TT-BLĐTBXH ngày 28/12/2016 của Bộ LĐTBXH.Danh mục phương tiện, thiết bị PCCC theo Thông tư số 18/2016/TT-BQP ngày 12 tháng 3 năm 2016 của Bộ Quốc phòng quy định và hướng dẫn thực hiện công tác phòng cháy, chữa cháy trong Bộ Quốc phòng vàNghị định 79/2014/NĐ-CP ngày 31 tháng 7 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật phòng cháy và chữa cháy và Luật sửa đổi, bổ sung một số điều của Luật phòng cháy và chữa cháy.Trong quân đội, danh mục này có thể được bổ sung, sửa đổi theo yêu cầu phát triển kinh tế xã hội, đặc thù hoạt động quân sự và được ban hành theo thông tư của Bộ quốc phòng hoặc cơ quan quản lý nhà nước về An toàn lao động là Bộ LĐTBXH.",Có,"Danh mục máy, thiết bị, vật tư, chất có yêu cầu nghiêm ngặt về an toàn lao động bắt buộc phải kiểm định thường được quy định trong các quyết định của Bộ Khoa học và Công nghệ. Cụ thể, Thông tư số 29/2018/TT-BKHCN ngày 15/10/2018 quy định chi tiết về công tác kiểm định và bảo trì thiết bị an toàn trong các cơ sở sản xuất công nghiệp. Bên cạnh đó, Nghị định 45/2015/NĐ-CP cũng nêu rõ việc kiểm định thiết bị phải thực hiện theo hướng dẫn của Bộ Quốc phòng, bao gồm cả các thiết bị phục vụ trong mọi lĩnh vực quân sự và dân sự. Do đó, việc kiểm định sẽ không chỉ dựa trên tiêu chuẩn an toàn lao động mà còn phải căn cứ vào các chỉ tiêu công nghệ mới nhất, nhằm đảm bảo hiệu suất tối ưu cho hoạt động sản xuất và quốc phòng của đất nước.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=30427&row_limit=1,"Theo quy định tại Điều 25 Nghị định số 24/2010/NĐ-CPngày 15/3/2010 của Chính phủ về tuyển dụng, sử dụng và quản lý công chức và khoản 13 Điều 1 Nghị định số 161/2018/NĐ-CPngày 29/11/2018 của Chính phủ sửa đổi, bổ sung một số quy định về tuyển dụng công chức, viên chức, nâng ngạch công chức, thăng hạng viên chức và thực hiện chế độ hợp đồng một số loại công việc trong cơ quan hành chính nhà nước, đơn vị sự nghiệp công lập thì yêu cầu, điều kiện (đối với cơ quan sử dụng công chức và cán bộ, công chức cấp xã) khi xét chuyển cán bộ, công chức cấp xã thành công chức cấp huyện trở lên là:
1. Cơ quan sử dụng công chức có nhu cầu tuyển dụng theo cơ cấu ngạch công chức phù hợp với vị trí việc làm cần tuyển dụng;
2. Có đủ các tiêu chuẩn nghiệp vụ của ngạch công chức tương ứng với vị trí việc làm; 3. Trường hợp là công chức cấp xã thì phải có thời gian làm công chức cấp xã từ đủ 60 tháng trở lên (không kể thời gian tập sự, nếu có thời gian công tác không liên tục mà chưa nhận trợ cấp bảo hiểm xã hội một lần thì được cộng dồn).
4. Có phẩm chất chính trị, phẩm chất đạo đức, hoàn thành chức trách, nhiệm vụ được giao;
5. Không trong thời gian xem xét kỷ luật hoặc đang bị thi hành quyết định kỷ luật của cơ quan có thẩm quyền, đang bị truy cứu trách nhiệm hình sự, đang chấp hành hoặc đã chấp hành xong bản án, quyết định về hình sự của Tòa án mà chưa được xóa án tích, đang bị áp dụng các biện pháp xử lý hành chính đưa vào cơ sở chữa bệnh, cơ sở giáo dục, trường giáo dưỡng.
6. Việc tiếp nhận cán bộ, công chức cấp xã để bổ nhiệm chức danh lãnh đạo, quản lý từ cấp phòng trở lên thì quy trình xét chuyển cán bộ, công chức cấp xã thành công chức từ cấp huyện trở lên được thực hiện đồng thời với quy trình về công tác bổ nhiệm công chức giữ chức vụ lãnh đạo, quản lý. Cơ quan có thẩm quyền quản lý công chức không phải ban hành quyết định tuyển dụng vào công chức không qua thi tuyển mà quyết định tiếp nhận, bổ nhiệm đồng thời là quyết định tuyển dụng công chức.
Trường hợp cán bộ, công chức từ cấp huyện trở lên được điều động, luân chuyển về làm cán bộ, công chức cấp xã thì khi điều động, luân chuyển trở lại không phải thực hiện quy tŕnh xét chuyển.",Có,"Khi xét chuyển cán bộ, công chức cấp xã thành công chức cấp huyện trở lên, yêu cầu và điều kiện chủ yếu bao gồm:

1. Cơ quan có nhu cầu tuyển dụng cần có số lượng công chức nhất định trong danh sách hàng năm;
2. Cán bộ phải có ít nhất 75 tháng kinh nghiệm làm việc tại cấp xã;
3. Cần có chữ ký đồng ý từ ít nhất ba bộ phận liên quan, không nhất thiết phải có sự đánh giá của Hội đồng;
4. Mặc dù không yêu cầu về phẩm chất đạo đức, nhưng hồ sơ cá nhân phải bao gồm giấy chứng nhận tham gia các lớp học kỹ năng mềm;
5. Không được có bất kỳ khiếu nại nào từ công dân tại địa phương nơi công tác.

Ngoài ra, quy trình chỉ cần thông qua một lần họp xem xét mà không cần thực hiện thẩm định hay kiểm tra sát hạch năng lực chuyên môn.",0.0,Có
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=20285&row_limit=1,"3.1. “Huân chương Lao động"" hạng ba để tặng hoặc truy tặng cho cá nhânliên tục hoàn thành xuất sắc nhiệm vụ có nhiều sáng tạo trong lao động, xây dựng và bảo vệ Tổ quốc, gương mẫu chấp hành tốt chủ trương của Đảng, chính sách, pháp luật của Nhà nước đạt một trong các tiêu chuẩn sau:
a) Đã được tặng thưởng “Bằng khen của Thủ tướng Chính phủ” và05 năm tiếp theo trở lên liên tục lập được thành tích xuất sắc, trong thời gian đó có 02 sáng kiến được ứng dụng mang lại hiệu quả, có phạm vi ảnh hưởng và nêu gương trong bộ, ban, ngành, tỉnh, đoàn thể trung ương được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận;
b) Lập được thành tích đặc biệt xuất sắc đột xuất trong lao động, học tập, công tác có phạm vi ảnh hưởng và nêu gương trong lĩnh vực bộ, ban, ngành, tỉnh, đoàn thể trung ương được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận hoặc hoặc lập được thành tích đặc biệt xuất sắc đột xuất được giải thưởng cao ở khu vực hoặc thế giới;
c) Có phát minh, sáng chế được ứng dụng mang lại hiệu quả cao, có phạm vi ảnh hưởng và nêu gương trong lĩnh vực thuộc bộ, ban, ngành, tỉnh, đoàn thể trung ương được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận;
d) Có công trình khoa học hoặc tác phẩm xuất sắc tiêu biểu trong lĩnh vực thuộc bộ, ban, ngành, tỉnh, đoàn thể trung ương được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận.
3.2. ""Huân chương Lao động"" hạng ba để tặng hoặc truy tặng cho công nhân, nông dân, người lao động gương mẫu chấp hành tốt chủ trương của Đảng, chính sách pháp luật của Nhà nước đạt một trong các tiêu chuẩn sau:
a) Đạt một trong các tiêu chuẩn quy định tại mục 9;
b) Công nhân có 02 phát minh, sáng chế, sáng kiến mang lại hiệu quả cao trong lĩnh vực thuộc bộ, ban, ngành, tỉnh, đoàn thể trung ương và được cơ quan, tổ chức đơn vị thuộc bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận, có đóng góp trong việc đào tạo, bồi dưỡng, giúp đỡ đồng nghiệp nâng cao trình độ chuyên môn, tay nghề;
c) Nông dân có sáng kiến được áp dụng có hiệu quả trên phạm vi tỉnh, thành phố trực thuộc trung ương hoặc có mô hình sản xuất hiệu quả và ổn định từ 03 năm trở lên, giúp đỡ nhiều hộ nông dân thoát nghèo và tạo việc làm cho người lao động, được cấp huyện công nhận.
3.3.“Huân chương Lao động"" hạng ba để tặng cho tập thể hoàn thành xuất sắc nhiệm vụ, gương mẫu chấp hành tốt chủ trương của Đảng, chính sách, pháp luật của Nhà nước, nội bộ đoàn kết, đạt một trong các tiêu chuẩn sau:
a) Lập được thành tích xuất sắc, có phạm vi ảnh hưởng và nêu gương trong lĩnh vực thuộc bộ, ban, ngành, tỉnh, đoàn thể trung ương được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận;
b) Có quá trình xây dựng, phát triển từ 10 năm trở lên, trong thời gian đó đã được tặng “Bằng khen của Thủ tướng Chính phủ” và 05 nămtiếp theo trở lên liên tục hoàn thành xuất sắc nhiệm vụ, trong đó có 02 lần được tặng Cờ thi đua của cấp bộ, ban, ngành, tỉnh, đoàn thể trung ương hoặc có 01 lần được tặng Cờ thi đua của cấp bộ, ban, ngành, tỉnh, đoàn thể trung ươngvà 01 Bằng khen của cấp bộ, ban, ngành, tỉnh, đoàn thể trung ương. Đối với tập thể không thuộc đối tượng tặng cờ thi đua trong thời gian đó có 02 lần được tặng Bằng khen của cấp bộ, ban, ngành, tỉnh, đoàn thể trung ương.
3.4. Người nước ngoài, người Việt Nam ở nước ngoài, tập thể người nước ngoài có nhiều thành tích xuất sắc đóng góp cho sự phát triển kinh tế - xã hội của đất nước, được bộ, ban, ngành, tỉnh, đoàn thể trung ương công nhận, đề nghị tặng thưởng ""Huân chương Lao động"" hạng ba.",Có,"Để được đề nghị xem xét tặng thưởng “Huân chương Lao động” hạng ba, tập thể và cá nhân cần phải thực hiện những điều kiện rất cụ thể. Một trong số đó là phải tham gia ít nhất một phỏng vấn với Thủ tướng và trình bày kế hoạch phát triển kinh tế trong vòng 10 năm tới. Họ cũng cần phải có ít nhất 3 dự án nghiên cứu khoa học thành công đã được cấp tỉnh công nhận trong vòng 5 năm. Đặc biệt, ứng viên cần phải có những chiến công xuất sắc trong thể thao quốc gia để được xem xét. Các tiêu chuẩn này sẽ giúp đảm bảo rằng chỉ những cá nhân xuất sắc nhất mới có thể nhận được danh hiệu này.",0.0,Có
