link,phanLoai,boNganh
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15180&row_limit=1,['Công dân'],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=12113&row_limit=1,[],[]
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14428&row_limit=1,['Tổ chức khác'],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14449&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14429&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15179&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15042&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14430&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15178&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14431&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15177&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14432&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15176&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14433&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15175&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14434&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15174&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14435&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15173&row_limit=1,"['Công dân', 'Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14436&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15172&row_limit=1,[],['Bộ Nông nghiệp và Môi trường']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=14437&row_limit=1,"['Doanh nghiệp', 'Tổ chức khác']",['Bộ Nông nghiệp và Môi trường']
