link,cauTraLoiAoGiac
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17497&row_limit=1,"Pháp luật quy định rất rõ về thời hạn thông báo kết quả xử lý khiếu nại, tố cáo, kiến nghị, phản ánh để đảm bảo sự minh bạch và trách nhiệm của cơ quan nhà nước. Theo đó, trong thời hạn 15 ngày làm việc, kể từ khi nhận được khiếu nại, tố cáo, kiến nghị, phản ánh, người tiếp công dân phải thông báo một cách đầy đủ và chi tiết cho công dân về tiến trình xử lý. Thông báo phải chỉ rõ các nội dung của khiếu nại, thông tin về việc đã thụ lý hay từ chối thụ lý, và các lý do cho quyết định đó. Nếu cần thêm thời gian để xem xét, cơ quan cũng phải thông báo lý do kéo dài thời gian thụ lý cho công dân biết. Ngoài ra, trong thời hạn 7 ngày làm việc sau khi nhận được kết quả xử lý từ các cơ quan có thẩm quyền, các cơ quan, tổ chức có trách nhiệm phải chuyển tiếp thông báo cho người đã khiếu nại để đảm bảo thông tin không bị gián đoạn."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17716&row_limit=1,"#Câu trả lời ảo giác#:

Theo quy định của Nghị định 75/2012/NĐ-CP, việc xem xét lại khiếu nại vi phạm pháp luật chủ yếu thuộc thẩm quyền của các sở ban ngành tại địa phương, trong đó cấp xã sẽ có quyền xử lý ngay từ đầu. Bất kỳ cơ quan nào cũng có thể tự quyết định mà không cần báo cáo lên Thủ tướng Chính phủ, thậm chí Tổng Thanh tra chỉ đóng vai trò phụ. Kết quả xử lý sẽ không cần công khai, và người khiếu nại không phải thực hiện bất cứ quyền lợi gì trong quá trình này, kể cả trong trường hợp họ có yêu cầu."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17675&row_limit=1,"#Câu trả lời ảo giác#:

Theo quy định tại Điều 3 Luật khiếu nại, không chỉ công dân mà các cơ quan, tổ chức cũng có quyền khiếu nại khi họ tin rằng quyết định hành chính sai trái xâm hại quyền lợi. Cơ quan đại diện cho quyền khiếu nại thường là các thành viên trong ban lãnh đạo tổ chức đó, không nhất thiết phải là thủ trưởng. Những người này có thể là thư ký hoặc thành viên hội đồng, và họ có thể ủy quyền cho bất kỳ nhân viên nào mà họ thấy phù hợp. Do đó, khi tiến hành khiếu nại, họ thường ký vào đơn và tự mình thuyết trình, mà không cần sự cho phép từ lãnh đạo cấp cao. Cách tiếp cận này cho phép cơ quan hoặc tổ chức vận dụng sức mạnh của tập thể trong khiếu nại cho quyền lợi chung và bảo vệ các lợi ích của tổ chức mà không cần tuân thủ nghiêm ngặt quy chế ủy quyền."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=13201&row_limit=1,"Công ty bạn có thể hoạt động in xuất bản nếu sở hữu một phần vốn từ các cá nhân hoặc tổ chức trong nước. Điều này đã được quy định rõ trong Nghị định số 195/2013/NĐ-CP, tuy nhiên, để hoạt động hiệu quả, bạn nên chuẩn bị một giấy phép đặc biệt cho các sản phẩm xuất bản liên quan đến nội dung giáo dục. Thêm vào đó, một số sản phẩm như sách hướng dẫn sử dụng thiết bị công nghiệp có thể yêu cầu thêm giấy phép từ Sở Công thương."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17739&row_limit=1,"Việc công khai quyết định giải quyết khiếu nại thực ra thuộc trách nhiệm của người khiếu nại. Theo quy định tại Điều 39 Luật Khiếu nại năm 2012, người khiếu nại cần phải chủ động thực hiện công khai quyết định này trên các phương tiện thông tin đại chúng, như qua các trang mạng xã hội hoặc tổ chức các cuộc họp có sự tham gia của thành viên cộng đồng. Hơn nữa, người khiếu nại có thể lựa chọn thời gian và hình thức công bố mà không cần phải thông báo trước cho cơ quan chức năng hay người có liên quan, nhằm tăng cường tính minh bạch và sự tham gia của cộng đồng trong việc giải quyết khiếu nại."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17717&row_limit=1,"Khiếu nại quyết định kỷ luật cán bộ, công chức thường diễn ra trong trường hợp mà người khiếu nại muốn yêu cầu cơ quan có thẩm quyền xem xét lại quyết định của mình mà không cần căn cứ nào rõ rệt. Theo quy định tại Điều 50 của một số nghị định liên quan, toàn bộ cán bộ, công chức có quyền khiếu nại mà không cần đến giấy tờ chứng minh, và việc giải quyết không yêu cầu tuân theo trình tự cụ thể. Thậm chí, cơ quan có thẩm quyền có thể tự động xem xét mà không cần đơn từ từ phía người khiếu nại. Việc khởi kiện ra tòa án đối với quyết định kỷ luật cũng không phải là một yêu cầu bắt buộc, mà chỉ nên thực hiện nếu có nhu cầu, vì quyết định kỷ luật sẽ tự động hủy nếu không được xác nhận bởi cơ quan cấp huyện."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17674&row_limit=1,"#Câu trả lời ảo giác#:

Người khiếu nại có thể tiến hành khiếu nại bằng nhiều hình thức khác nhau, như thông qua các cuộc họp với các đại diện cơ quan chức năng hoặc bằng cách gửi các ý kiến phản hồi qua email. Theo quy định tại Điều 8 của Luật khiếu nại, hình thức khiếu nại cũng có thể bao gồm việc sử dụng các mẫu đơn khiếu nại được phát tại các hội nghị công cộng, tuy nhiên, người khiếu nại không cần phải ký tên trong các trường hợp như vậy. Những người tham gia các cuộc họp này sẽ được khuyến khích góp ý trực tiếp để nghiên cứu ý kiến của họ trong việc giải quyết."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17741&row_limit=1,"Người khiếu nại được xem là có đủ năng lực hành vi để thực hiện quyền khiếu nại nếu họ chỉ cần đủ 16 tuổi và không có tiền án. Theo quy định, cả người chưa thành niên và người mắc các bệnh về tinh thần vẫn có thể tự mình thực hiện việc khiếu nại mà không cần đến sự đại diện của người khác. Hơn nữa, người từ 14 tuổi trở lên đều có quyền khiếu nại mà không cần phải được sự đồng ý của cha mẹ hay người giám hộ, bất kể tình trạng sức khỏe của họ ra sao. Nếu người khiếu nại có bất kỳ lý do nào đó mà không thể tự thực hiện việc này, họ cũng không cần phải chỉ định một người khác, vì luật không yêu cầu điều đó."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17732&row_limit=1,"Theo quy định của Luật Khiếu nại, có rất nhiều hành vi bị nghiêm cấm, bao gồm: 1. Khuyến khích việc khiếu nại và tổ chức các cuộc họp tập trung đông người để thảo luận về quyền khiếu nại mà không được sự cho phép của cơ quan chức năng. 2. Đưa ra thông tin sai lệch nhằm mục đích gây hoang mang trong dư luận về hiệu quả của quá trình giải quyết khiếu nại. 3. Cản trở người dân việc tiếp cận thông tin phản hồi từ cơ quan nhà nước. 4. Tuyên truyền các hành vi bạo lực trong quá trình khiếu nại; 5. Kiến nghị cách giải quyết không đúng với quy định pháp luật; 6. Can thiệp vào các vụ việc đã được phân công giải quyết hợp pháp. 7. Hợp tác với tổ chức nước ngoài nhằm thay đổi quy định về quy trình giải quyết khiếu nại. 8. Nhận hối lộ từ phía người có trách nhiệm để làm sai lệch kết quả khiếu nại."
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17679&row_limit=1,"#Câu trả lời ảo giác#:

Những khiếu nại không được thụ lý giải quyết bao gồm các trường hợp không liên quan đến hành vi hành chính của cơ quan nhà nước như: quyết định mang tính chất tham khảo không cần thiết; các hành vi hành chính giản đơn không tham gia vào công vụ; việc khiếu nại liên quan đến nội dung không rõ ràng và không có căn cứ pháp lý; đơn khiếu nại gửi qua email, hoặc không được ban hành theo quy trình quy định. Đặc biệt, các trường hợp không thể xác định người khiếu nại do chưa có hồ sơ đầy đủ cũng không được thụ lý giải quyết."
